Artist,Tagline,Date,Start Time,End Time,Stage,Genre,Country,Bio,Website,AI Summary,AI Rating,Spotify Link,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
3 Point Landing,Electric anthems with grunge soul.,,,,,alternative/synthesizer rock/electronic pop/indie grunge,Netherlands,"3 Point Landing is a band from Alkmaar, Netherlands, known for their energetic performances and engaging music. They have achieved recognition through contests like the Rob Acda Award and Popmania band contest, and have performed alongside notable acts such as YUNGBLUD.",https://www.3pointlanding.com/,"3 Point Landing delivers high-energy performances and engaging music, blending rock and alternative influences. Their recognition in contests like the Rob Acda Award and Popmania highlights their growing reputation, and performing alongside YUNGBLUD suggests a dynamic and contemporary style.",8,https://open.spotify.com/artist/2w200YDG354RK2rOxMXnw2,3,Female,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,"Gothic synth rockers 3 POINT LANDING staan al een tijd bovenaan de Alkmaarse muziek scene, met een rijtje lokale en regionale verdiensten (Mixtream, Popmania, runner-up Rob Acda Award) om je vingers bij af te likken. Wordt 2026 dan toch echt hun jaar? Dan ben jij er in januari alvast vroeg bij :)",,,Yes
Black Operator,Swampy riffs igniting raw revolutions,,,,,blues rock/garage rock/swampy roots influences,Netherlands,"Black Operator is a music act known for their energetic single 'Revolution' and their debut album, both available on streaming platforms. They actively engage with fans through their music videos and social media presence.",https://www.blackoperator.nl/,"Black Operator delivers high-energy music, as showcased in their single 'Revolution' and debut album. Their focus on connecting with fans through music videos and social media highlights their commitment to creating an engaging and interactive experience.",8,https://open.spotify.com/artist/4xSTSubyxwrIM7yCGi0n4R,5,Male,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,Yes
Carmen de Kooning,Raw emotions wrapped in indie pop.,,,,,indie pop,Netherlands,"Carmen De Kooning is a 20-year-old indie pop artist from the Netherlands, creating emotional and heartfelt songs in both English and Dutch. Drawing from personal experiences and mental battles, Carmen aims to comfort listeners and share relatable, inspiring music.",HAS_NO_WEBSITE,"Carmen De Kooning crafts deeply emotional indie pop songs that resonate with listeners through their heartfelt lyrics and bilingual approach, offering a unique blend of English and Dutch storytelling. Her music reflects personal struggles and aims to provide solace and inspiration.",9,https://open.spotify.com/artist/4rnGQ5FnvUvJ1Eeb0ZM2nW?si=ewr4gP1XTw2vzRYpDTGK6g,1,Female,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,Yes
Carousel,,,,,,,Netherlands,,HAS_NO_WEBSITE,,,NOT ON SPOTIFY,,,,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,
Days of Sway,"Soul-drenched grooves, unstoppable sway.",,,,,soul/blues/rock/pop/indie,Netherlands,"Days of Sway is a band performing live music at various venues and festivals across the Netherlands. Known for their engaging performances, they have shared stages with acts like The Skill, A Sudden Collision, Trashwood, and Glitz.",https://daysofsway.com/,"Days of Sway is a Netherlands-based band known for their dynamic and engaging live performances. Their ability to captivate audiences has earned them opportunities to share stages with other notable acts like The Skill and A Sudden Collision, suggesting a strong presence in the local live music scene.",8,https://open.spotify.com/artist/7nlWkfjA7PR7HpMqcCEmCc?si=ZsZIcOlMTCSHA3HFllXPdw,3,Male,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,Yes
Dear John,"Heartfelt stories, strummed with soul.",,,,,folk-pop/soul/americana/uplifting,Netherlands,"Dear John is a singer-songwriter from Alkmaar who creates honest songs with a rhythmic acoustic sound influenced by folk-pop, soul, and Americana. With over 15 years of stage experience, his intimate and authentic performances are known for their uplifting energy and heartfelt storytelling.",https://www.dearjohnmusic.nl/,"Dear John delivers a heartfelt blend of folk-pop, soul, and Americana, characterized by rhythmic acoustic sounds and authentic storytelling. With over 15 years of stage experience, his performances are both intimate and uplifting, showcasing his ability to connect with audiences through emotional resonance and energy.",8,https://open.spotify.com/artist/66uiL0vuTQjHnpg58AvjeY,1,Male,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,"De songs van DEAR JOHN zijn nodige zonnestraaltjes in de grauwe december/januari lucht. Gewapend met alleen zijn glimlach en gitaar brengt singer songwriter Dirk-Jan Smit zijn persoonlijke en uplifting repertoire, geïnspireerd door Jason Mraz en Jack Johnnson.",,,Yes
Dentro,,,,,,,Netherlands,,HAS_NO_WEBSITE,,,NOT ON SPOTIFY,,,,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,
Dress Up Dolls,"Epic soundscapes, born to ignite.",,,,,alternative/alternative rock/indie rock/pop/rock,Netherlands,"Dress Up Dolls is an alternative rock trio from Alkmaar, Netherlands, featuring Yoram van der Reep on drums, Aris Rem on bass, and Daan Stam on vocals. Known for their powerful sound and energetic live performances, the band gained recognition in the Dutch music scene after winning the Rob Acda Award. They have played at major festivals such as Bevrijdingspop and NH-Pop Live, and their style draws comparisons to acts like Muse and Radiohead. In December 2025, Dress Up Dolls marked their reunion by performing new material at Alkmaars Eigenste Festival, signaling an exciting new chapter for the band.",https://soundcloud.com/dressupdolls,"Dress Up Dolls is a dynamic alternative rock trio from the Netherlands, celebrated for their high-energy live shows and a sound reminiscent of Muse and Radiohead. Their recognition in the Dutch music scene, bolstered by winning the Rob Acda Award and performances at major festivals, highlights their artistic credibility and audience appeal. Their 2025 reunion signals a promising continuation of their impactful musical journey.",10,https://open.spotify.com/artist/6q4vsvUYzSoE6fMmMPKhdW,3,Male,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,"DRESS UP DOLLS heeft ondertussen een veteranen status op AE, maar toch voelt een optreden van de heren een beetje als een come back. Na een kleine pauze zijn ze gelukkig weer helemaal terug met hun ijzersterke songs, zelfs een paar nieuwe :) Stevig, zacht, lyrisch en soms bombastisch, welkom terug jongens!",,,Yes
Efvy,"Layered loops, raw soul unleashed.",,,,,loop station/multi-genre,Netherlands,"Efvy is a one-person band that transforms the stage into a musical playground. Using a loop station, she builds live tracks layer by layer with guitar, bass, drums, synthesizer, and vocals, creating raw and captivating performances. Her music is driven by emotion and authenticity, drawing inspiration from artists like Tash Sultana and Billie Eilish.",https://www.efvy.nl/,"Efvy delivers emotionally charged and authentic performances by skillfully layering guitar, bass, drums, synthesizer, and vocals through a loop station. Drawing inspiration from Tash Sultana and Billie Eilish, her music blends raw emotion with a captivating, multi-instrumental approach, creating a unique and immersive live experience.",9,https://open.spotify.com/artist/51SCxluUv4S8QFMwkEKNP2?si=4end3DQLT-KgCV_Ftw1u3w,1,Female,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,"Multi-instrumentalist en loop stationer EFVY speel al haar nummers in haar eentje, als een one woman army, laag voor laag opbouwend. Ze gaat ondertussen al aardig wat lokale podium af en kijkt voorzichtig al buiten de regio-grenzen. Zo staat ze straks eerst even in Tivoli (!) voor ze AE komt platspelen.",,,Yes
Emily Wareing & Band,"Indie soul, woven in two tongues",,,,,indie/alternative/alternative pop,Netherlands,"Emily Wareing is a versatile singer-songwriter with a unique voice that effortlessly explores the boundaries between indie and alternative pop. Mastering both guitar and piano, her performances exude an intimate and authentic atmosphere with a mix of original songs and carefully chosen covers in both English and Dutch.",https://art-quake.com/artiesten/emily-wareing/,"Emily Wareing's music blends indie and alternative pop, characterized by her unique voice and intimate performances. Her ability to master both guitar and piano allows her to create a rich, authentic sound, further enhanced by her bilingual repertoire in English and Dutch. Her artistry lies in her versatility and the emotional depth of her performances.",8,https://open.spotify.com/artist/6nIazmVvteJLkMBTzxU1wM?si=o0qkTjZmRnGnNNvqwAqkvw,1,Female,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,Yes
