Artist,Tagline,Date,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify Link,YouTube,Instagram,AI Summary,AI Rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Derya Yıldırım & Grup Şimşek,Psychedelic echoes of Anatolian soul,2026-02-21,21:05,22:05,Cloud Nine,Anatolian rock/psychedelic folk,Germany,"De Duits-Turkse zangeres Derya Yıldırım groeide via haar ouders op met Anatolische muziek en leerde ook de saz bespelen. Met Grup Şimşek brengt ze moderne, psychedelische versies van Anatolische volksmuziek, plus eigen werk. Hun motto: “You need a groove and a melody, and everything around it is free!”",https://deryayildirimgrupsimsek.com/,https://open.spotify.com/artist/2Y0SH69uxHrHrjiZCuTSaT,,,"Their fusion of traditional Turkish melodies with psychedelic rock and jazz creates a rich, textured sound that is both nostalgic and modern. The band's ability to reimagine folk traditions while maintaining their authenticity has earned them a dedicated following.",9,4,Female,Yes,,https://www.tivolivredenburg.nl/agenda/50573414/footprints-festival-21-02-2026,"De Duits-Turkse zangeres Derya Yıldırım groeide via haar ouders op met Anatolische muziek en leerde ook de saz bespelen. Met Grup Şimşek brengt ze moderne, psychedelische versies van Anatolische volksmuziek, plus eigen werk. Hun motto: “You need a groove and a melody, and everything around it is free!”","The German-Turkish singer Derya Yıldırım grew up with Anatolian music through her parents and also learned to play the saz. With Grup Şimşek, she delivers modern, psychedelic versions of Anatolian folk music, along with original compositions. Their motto: ""You need a groove and a melody, and everything around it is free!""",,Yes
Don Melody Club,80s grooves meet psychedelic whimsy.,2026-02-21,19:00,19:45,Pandora,Psychedelic/80s-inspired,Netherlands,"De Amsterdamse formatie Don Melody Club debuteerde in 2021 met het album Pure Donzin, inmiddels een cultklassieker. De teksten zijn een beetje vreemd maar wel lekker, de muziek is mild-psychedelisch met op hun nieuwe ep Zonder Pardon (2024) ook eighties-invloeden. Alle psychonauten verzamelen!",https://www.instagram.com/donmelodyclub/,https://open.spotify.com/artist/0gnt5Tp8lW6u8obPtO3kuY,,,"Don Melody Club combines mildly psychedelic sounds with quirky, enjoyable lyrics and a touch of 80s influences, as seen in their upcoming EP Zonder Pardon. Their debut album Pure Donzin has already achieved cult status, suggesting a unique and creative approach to their music.",8,1,Male,No,,https://www.tivolivredenburg.nl/agenda/50573414/footprints-festival-21-02-2026,"De Amsterdamse formatie Don Melody Club debuteerde in 2021 met het album Pure Donzin, inmiddels een cultklassieker. De teksten zijn een beetje vreemd maar wel lekker, de muziek is mild-psychedelisch met op hun nieuwe ep Zonder Pardon (2024) ook eighties-invloeden. Alle psychonauten verzamelen!","The Amsterdam-based band Don Melody Club debuted in 2021 with the album Pure Donzin, now a cult classic. The lyrics are a bit strange but enjoyable, the music mildly psychedelic, with their new EP Zonder Pardon (2024) also featuring eighties influences. All psychonauts, gather round!",,Yes
fastmusic,Desert blues meets electronic ghosts,2026-02-21,20:20,21:00,Club Nine,minimalist electropop/Malian desert blues,Germany,"Het Duitse duo fastmusic komt met een volstrekt unieke combinatie van minimalistische elektropop met Malinese woestijnblues-achtige gitaarpartijen. Frontman Bela Fast maakt het ietwat spookachtige bandgeluid af met zijn falsetzang. Debuutalbum I Want To Love, And I Love (2024) is gemaakt met veel Herzblut!",https://www.instagram.com/fastmusic.official/,https://open.spotify.com/artist/1w4OW3ZCKBl98RmOyYWYPG,,,"fastmusic's innovative blend of minimalist electropop and Malian desert blues guitar riffs creates a haunting and distinctive sound. Bela Fast's falsetto vocals add an ethereal quality to their music, making them stand out in the electronic and world music fusion space.",6,2,Male,No,,https://www.tivolivredenburg.nl/agenda/50573414/footprints-festival-21-02-2026,"Het Duitse duo fastmusic komt met een volstrekt unieke combinatie van minimalistische elektropop met Malinese woestijnblues-achtige gitaarpartijen. Frontman Bela Fast maakt het ietwat spookachtige bandgeluid af met zijn falsetzang. Debuutalbum I Want To Love, And I Love (2024) is gemaakt met veel Herzblut!","The German duo fastmusic presents a completely unique combination of minimalist electropop with Malian desert blues-like guitar riffs. Frontman Bela Fast completes the somewhat haunting band sound with his falsetto vocals. Debut album *I Want To Love, And I Love* (2024) was created with a lot of Herzblut!",,Yes
Gizmo Varillas,"Global grooves, soulful storytelling.",2026-02-21,22:00,22:45,Pandora,Indie/World Music,Spain,"De Spaanse singer-songwriter Gizmo Varillas maakt ontspannen groovende muziek die doet denken aan Paul Simon, Paolo Nutini en José González. In de lente van 2025 verscheen zijn vierde album The World In Colour – het heerlijke openingsnummer Follow The Sun geeft meteen Varillas’ levensmotto aan!",https://www.gizmovarillas.com/,https://open.spotify.com/artist/47i4lPow1dIRwOb85AB6lj,,,"Gizmo Varillas creates a distinctive sound by fusing global rhythms with introspective songwriting, resulting in music that feels both uplifting and thought-provoking. His ability to seamlessly blend diverse influences sets him apart in the indie music scene.",8,4,Male,Yes,,https://www.tivolivredenburg.nl/agenda/50573414/footprints-festival-21-02-2026,"De Spaanse singer-songwriter Gizmo Varillas maakt ontspannen groovende muziek die doet denken aan Paul Simon, Paolo Nutini en José González. In de lente van 2025 verscheen zijn vierde album The World In Colour – het heerlijke openingsnummer Follow The Sun geeft meteen Varillas’ levensmotto aan!","The Spanish singer-songwriter Gizmo Varillas creates relaxed, groovy music reminiscent of Paul Simon, Paolo Nutini, and José González. In the spring of 2025, his fourth album, *The World In Colour*, was released – the delightful opening track *Follow The Sun* immediately conveys Varillas' life motto!",,Yes
Halfpastseven,"Amsterdam-based producer blending hiphop, house, and electronica with organic grooves.",2026-02-21,22:05,22:45,Club Nine,hiphop/house/electronica,Netherlands,"De opkomende Amsterdamse producer Halfpastseven stond begin 2026 nog op ESNS met zijn organisch groovende mix van hiphop, house en elektronica. In 2025 verscheen zijn tweede album The Calm And The Storm, waarop hij zijn zorgvuldig opgebouwde sound perfectioneert. Het is tijd voor Halfpastseven!",https://www.instagram.com/halfpastseven/,https://open.spotify.com/artist/7IA63FK0TU9WZO5bPZS2hk,,,"Halfpastseven is a rising producer from Amsterdam known for his unique fusion of hiphop, house, and electronica, characterized by organic grooves and a meticulously crafted sound. His second album, 'The Calm And The Storm,' released in 2025, showcases his refined and innovative approach to music production. His performance at ESNS in early 2026 further highlights his growing presence in the electronic music scene.",10,1,Male,No,,https://www.tivolivredenburg.nl/agenda/50573414/footprints-festival-21-02-2026,,,,Yes
Hamraaz,Where Armenian winds meet Persian strings,2026-02-21,19:45,20:30,Hertz,Traditional Iranian/Armenian Folk,France/Iran,"Het intrigerende duo Hamraaz bestaat uit Lucie Lelaurin (Frankrijk) en Khorshid Dadbeh (Iran). Lelaurain speelt het Armeense dubbelriet-blaasinstrument doedoek, Dadbeh is gespecialiseerd in de tār, een langhalsluit. Samen bouwen ze een betoverende brug tussen traditionele Iraanse en Armeense muziek!",https://ebbmusic.eu/artists/hamraaz/,https://open.spotify.com/artist/14xRdsioBP7lyulL3Brrjd,,,"Hamraaz offers a unique fusion of traditional Iranian and Armenian music, blending the soulful tones of the duduk with the intricate melodies of the tār. Their sound is deeply rooted in cultural heritage, creating an evocative and atmospheric musical experience.",8,2,Mixed,Yes,,https://www.tivolivredenburg.nl/agenda/50573414/footprints-festival-21-02-2026,"Het intrigerende duo Hamraaz bestaat uit Lucie Lelaurin (Frankrijk) en Khorshid Dadbeh (Iran). Lelaurain speelt het Armeense dubbelriet-blaasinstrument doedoek, Dadbeh is gespecialiseerd in de tār, een langhalsluit. Samen bouwen ze een betoverende brug tussen traditionele Iraanse en Armeense muziek!","The intriguing duo Hamraaz consists of Lucie Lelaurin (France) and Khorshid Dadbeh (Iran). Lelaurin plays the Armenian double-reed wind instrument duduk, while Dadbeh specializes in the tār, a long-necked lute. Together, they create an enchanting bridge between traditional Iranian and Armenian music!",,Yes
Islandman,Anatolian rhythms meet cosmic beats.,2026-02-21,23:30,00:30,Pandora,Psychedelic/Electronic,Turkey,"Islandman is het elektro-akoestische trio rondom de Istanbulse producer Tolga Böyük. ‘Neo-Turkish psychedelica’, zo omschrijft het drietal hun unieke mix van traditionele Turkse melodieën/Anatolische psychedelica met moderne elektronica/beats. Half ceremonie, half dansfeest, helemaal Islandman!",https://ebbmusic.eu/artists/islandman/,https://open.spotify.com/artist/3So3vlAfrEh2FbpvG7sxO4,,,Their blend of Anatolian psychedelia with modern electronic beats creates a hypnotic sound; strong stage presence and innovative fusion of genres make them stand out.,8,3,Male,Yes,,https://www.tivolivredenburg.nl/agenda/50573414/footprints-festival-21-02-2026,"Islandman is het elektro-akoestische trio rondom de Istanbulse producer Tolga Böyük. ‘Neo-Turkish psychedelica’, zo omschrijft het drietal hun unieke mix van traditionele Turkse melodieën/Anatolische psychedelica met moderne elektronica/beats. Half ceremonie, half dansfeest, helemaal Islandman!","Islandman is the electro-acoustic trio led by Istanbul-based producer Tolga Böyük. ""Neo-Turkish psychedelia"" is how the trio describes their unique blend of traditional Turkish melodies/Anatolian psychedelia with modern electronics/beats. Half ceremony, half dance party, entirely Islandman!",,Yes
Kaba & Hyas,"French duo blending rap and electronic music with UK garage, house, drum & bass, and 2step.",2026-02-21,23:35,00:20,Club Nine,Rap/Electronic/UK Garage/House/Drum & Bass/2step,France,"Uit Frankrijk komt het duo Kaba & Hyas, dat rap en elektronica mengt met UK garage, house, drum & bass en 2step. Na de ep’s Music For Tesla Vol. 1 en 2 verscheen in 2025 hun derde ep Wooferz Only (2025), waarmee het duo eigenhandig het gevoel van de Detroit- en Manchester-scene weer tot leven wekt!",https://hyas.bandcamp.com/,https://open.spotify.com/artist/18BCzFFTNty1NeevlaCjuN,,,"Kaba & Hyas are a French duo known for their innovative fusion of rap and electronic music, seamlessly incorporating elements of UK garage, house, drum & bass, and 2step. Their work, including the upcoming 2025 EP 'Wooferz Only,' is noted for reviving the spirit of Detroit and Manchester's iconic music scenes.",10,2,Mixed,Yes,,https://www.tivolivredenburg.nl/agenda/50573414/footprints-festival-21-02-2026,,,,Yes
Keshavara,"Global beats, boundless indie spirit",2026-02-21,19:40,20:20,Cloud Nine,Indie Pop/Electronic,Germany,"Keshavara begon een ruime tien jaar geleden als soloproject van de Duits-Indiase muzikant Keshav Purushotham, maar is inmiddels uitgegroeid tot een geoliede viermansformatie. Verwacht lome psychedelica, seventies-Beiroet-funk, Ennio Morricone-meets-Bollywood en minstens drie fraaie snorren!",https://www.keshavara.com/,https://open.spotify.com/artist/0jydXaYhlJIF2kLYHPofSI,,,Keshavara's ability to merge electronic beats with global musical elements results in a refreshing and innovative soundscape. His work stands out for its creativity and genre-defying compositions.,8,4,Male,Yes,,https://www.tivolivredenburg.nl/agenda/50573414/footprints-festival-21-02-2026,"Keshavara begon een ruime tien jaar geleden als soloproject van de Duits-Indiase muzikant Keshav Purushotham, maar is inmiddels uitgegroeid tot een geoliede viermansformatie. Verwacht lome psychedelica, seventies-Beiroet-funk, Ennio Morricone-meets-Bollywood en minstens drie fraaie snorren!","Keshavara started over ten years ago as a solo project by the German-Indian musician Keshav Purushotham, but has since evolved into a well-oiled four-man band. Expect laid-back psychedelia, seventies Beirut funk, Ennio Morricone-meets-Bollywood, and at least three impressive mustaches!",,Yes
NIJI,Genre alchemist with soulful roots,2026-02-21,20:30,21:15,Pandora,Jazz/Gospel/Hip-Hop/Grime/Afrobeat/Classical,UK/Nigeria,"De Engels-Nigeriaanse toetsenist NIJI werd al op zijn 14e professioneel muzikant – we hebben hier dus te maken met een hele grote. Jazz, gospel, hiphop, grime en afrobeat klinken door in zijn werk, plus NIJI’s gevoelige klassieke toucher. Debuutalbum Oríkì (2025) is een caleidoscopische ode aan zijn roots!",https://www.nijiadeleye.com/,https://open.spotify.com/artist/2Bjdx6wbbv4Ctfk01QmaIz,,,"NIJI's ability to seamlessly blend diverse genres like jazz, gospel, hip-hop, grime, and afrobeat with a classical influence showcases his versatility and deep musicality. His debut album *Oríkì* promises to be a rich exploration of his English-Nigerian heritage, likely offering a vibrant and innovative sound.",8,1,Male,Yes,,https://www.tivolivredenburg.nl/agenda/50573414/footprints-festival-21-02-2026,"De Engels-Nigeriaanse toetsenist NIJI werd al op zijn 14e professioneel muzikant – we hebben hier dus te maken met een hele grote. Jazz, gospel, hiphop, grime en afrobeat klinken door in zijn werk, plus NIJI’s gevoelige klassieke toucher. Debuutalbum Oríkì (2025) is een caleidoscopische ode aan zijn roots!","The English-Nigerian keyboardist NIJI became a professional musician at just 14 years old – we're dealing with a true talent here. Jazz, gospel, hip-hop, grime, and afrobeat resonate throughout his work, along with NIJI's delicate classical touch. Debut album *Oríkì* (2025) is a kaleidoscopic ode to his roots!",,Yes
