Artist,Tagline,Day,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify Link,YouTube,Instagram,AI Summary,AI Rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Actress & Suzanne Ciani,A groundbreaking collaboration blending experimental electronic textures with modular synthesis and ambient soundscapes.,Thu 9 April,,,,Electronic/Ambient,UK/USA,"Actress & Suzanne Ciani is a collaboration between British electronic producer Actress and American electronic music pioneer Suzanne Ciani, blending experimental electronic textures with modular synthesis and ambient soundscapes.",,https://open.spotify.com/artist/6E7hjfR2Qy6392SnUqCnzr,,,"This collaboration merges Actress's avant-garde electronic production with Suzanne Ciani's pioneering modular synthesis expertise, creating a unique fusion of experimental and ambient electronic music.",8,,Mixed,Yes,,https://www.rewirefestival.nl/artist/actress--suzanne-ciani,,"Five-time Grammy award-nominated composer Suzanne Ciani, an icon and early pioneer of electronic music composition, joins producer Darren J. Cunningham, aka Actress, to perform *Concrète Waves* – the kind of collaboration that only floats to shore once in a lifetime. Ciani's first commercial album, *Seven Waves* (1982) wafted amidst the soothing and playful movements of seafoam – drawing on ocean metaphors to create a bubbling, synthesised body of work. With *Concrète Waves*, Actress and Ciani – with her signature Buchla synthesiser in tow – return to this concept.  

Cunningham's productions as Actress transport musique concrète into the twenty-first century, creating what he terms ""R&B concrète"" – where atmospheric scenes of twinkling ambience and furrowed noise meet sodium-lit field recordings and bassy warped drum sequences. In contrast to this practice – which is painted upon a backdrop of post-industrial urban life – Ciani evokes the natural world in her music.  

Although the duo offer a swell of contradictions, what they do share is a rare ability to build atmosphere and environment through electronics, texture, and timbre. It is in the overlapping middle-points between the natural and the metropolitan that their sound dwells – where roots entangle city infrastructure or, indeed, where the ocean waves crash up into modern life.  

Actress & Suzanne Ciani will perform an exclusive show at Amare during Rewire 2026.","{""Instagram"": ""https://www.instagram.com/sevwave/"", ""Website"": ""https://www.sevwave.com/"", ""Bandcamp"": ""https://modernobscuremusic.bandcamp.com/""}",Yes
Armand Hammer,"Experimental hip-hop duo blending dense lyricism, abstract production, and politically charged themes.",,,,,Hip-Hop/Rap,USA,"Armand Hammer is an experimental hip-hop duo from New York City, consisting of rappers billy woods and Elucid. Known for their dense lyricism, abstract production, and politically charged themes, they have garnered critical acclaim for albums like 'Paraffin' and 'Haram' (a collaboration with producer The Alchemist).",,https://open.spotify.com/artist/3SCI7sXHUZIeDKMWC5NT9C,,,"Armand Hammer's music combines intricate, thought-provoking lyricism with avant-garde production, often exploring themes of race, power, and societal critique. Their collaborations with prominent producers like The Alchemist have further solidified their reputation as one of the most innovative acts in underground hip-hop.",8,2,Male,Yes,,https://www.rewirefestival.nl/artist/armand-hammer,,"Armand Hammer is the New York City hip hop duo of rappers ELUCID and billy woods – whose performance at last year's festival was heralded as a highlight by many. For over a decade, Armand Hammer's undaunted lyricism and unparalleled flow has placed them uncontestedly at the forefront of underground hip hop. They just released *Mercy* (2025), where legendary hip hop producer The Alchemist meets the duo head on, paving soulful, sample-heavy cuts for the duo to tread on joyfully. Their sound pays homage to old school rap yet is truly of-the-moment, extrapolating east-coast hip hop flavours out towards infinity. The Alchemist's samples of jazz, prog rock, and soul make warm kindling for woods's and ELUCID's incendiary verses to burst into flame in listeners' ears. Featuring collaborators such as Earl Sweatshirt, Quelle Chris, and Cleo Reed, *Mercy* is a glorious collection of music that moves unpredictably – from slow and pensive to infectious and boisterous, Armand Hammer deliver their verses with the mastery and wisdom of two storied musicians at the top of their game.","{""Instagram"": ""https://www.instagram.com/cobratoof/"", ""Bandcamp"": ""https://armandhammer.bandcamp.com/""}",Yes
Beatrice Dillon & Explore Ensemble,Innovative collaboration blending experimental electronic music with classical instrumentation.,,,,,Experimental/Electronic,UK,"Beatrice Dillon collaborates with the contemporary music group Explore Ensemble to create innovative works that blend experimental electronic music with classical instrumentation, pushing the boundaries of sound and structure.",,https://open.spotify.com/artist/14H1XUmtWYzRHCQDkoee97,,,"Beatrice Dillon & Explore Ensemble merge avant-garde electronic textures with contemporary classical elements, resulting in a distinctive and cerebral sonic experience that challenges traditional genre boundaries.",8,,Female,No,,https://www.rewirefestival.nl/artist/beatrice-dillon--explore-ensemble,,"Artist and composer Beatrice Dillon has been involved in a string of genre-traversing and moment-defining releases in recent years, with her Workaround topping The Wire's album of the year list in 2020, and more recently with Basho (2025). While these play energetically with synthesis and complex rhythmic ideas, her 2024 album Seven Reorganisations, the inaugural release on Dillon’s own new label, HI, turns towards the patient, the minimal, and the purely acoustic – forming a resoundingly touching contemporary classical piece, performed by fellow London-based sextet Explore Ensemble. Their artful interpretations are at the forefront of Seven Reorganisations. Among piano inflections and minimal string lines, an ecosystem of organic, murmuring sounds comes alive. As if through magic, the performers dissolve into their instruments; the space around them is made to feel as if it's engulfed in anti-matter – and that all which exists is the animated instruments creating sounds in a lively macrocosm of vibration and timbre. 

In a world premiere performance, Beatrice Dillon and Explore Ensemble present Dillon’s major new composition, which incorporates Dillon’s digital synthesis with the Ensemble's acoustic instrumentation. This work is commissioned by Rewire, Barbican Centre, and Explore Ensemble, with support from the Ernst von Siemens Musikstiftung and PRS Foundation.","{""Website"": ""https://explore-ensemble.com/"", ""Instagram"": ""https://www.instagram.com/explore_ensemble/"", ""Bandcamp"": ""https://hi-music.bandcamp.com/""}",Yes
Blawan,"Innovative UK techno producer blending raw, industrial sounds with experimental electronic music.",,,,,Techno/Experimental Electronic,UK,"Blawan is a UK-based electronic music producer and DJ known for his innovative approach to techno and experimental electronic music. He gained prominence with his raw, industrial sound and has released critically acclaimed tracks on labels like Hessle Audio, R&S Records, and his own imprint, Ternesc.",,https://open.spotify.com/artist/64kN9EkSTHYhda2FupL0KI,,,"Blawan's music is characterized by its gritty, industrial textures and innovative approach to techno, blending heavy percussion and experimental sound design. His work has been praised for pushing the boundaries of electronic music, making him a standout figure in the genre.",8,,Male,No,,https://www.rewirefestival.nl/artist/blawan,,"Blawan's new album *Sick Elixir* (2025) should come with a corrosive materials warning; but like with all mysterious elixirs, doesn't half the fun come from the risk of consuming it? An alias of producer Jamie Roberts, Blawan has been a mainstay of the club scene for the last fifteen years. From his defining and way-paving early releases on Hinge Finger and Hessle Audio, to his prolific releases on his own imprint Ternesc, the producer is now signed with XL Recordings – who put out *Sick Elixir*. 

On this latest full-length, rough saw-tooth waves and grimey EBM synth lines are perforated by grizzly vocal samples spitting syllabic chants. His inventive percussive sampling and programming bring a chunky chopped-and-screwed sound to the dancefloor. Basked in a distinctly UK-inspired griminess, Blawan's not-quite-techno transmissions sound like lost signals from beyond this galaxy – arriving to our speaker cones as fuzzed-out club music full of clamouring beats and distortion-drenched bass. *Sick Elixir* is one of the most potent statements in club music recently: catch it live at Rewire 2026.","{""Instagram"": ""https://www.instagram.com/blawan/"", ""Website"": ""https://blawan.com/"", ""Bandcamp"": ""https://blawan.bandcamp.com/""}",Yes
Caterina Barbieri,Minimalist modular synth composer,,,,,Electronic/Experimental,Italy,"Caterina Barbieri is an Italian electronic music composer and performer known for her minimalist and hypnotic modular synthesizer compositions. Her work explores the psychoacoustic effects of repetition and pattern-based music, earning critical acclaim for albums like 'Ecstatic Computation' and 'Spirit Exit.'",,https://open.spotify.com/artist/61WgG5fz5ilJrMne7tE1zu,,,"Caterina Barbieri's music is characterized by intricate modular synth patterns and a focus on minimalism, creating immersive and meditative soundscapes. Her innovative approach to electronic composition has positioned her as a leading figure in contemporary experimental music.",8,,Female,No,,https://www.rewirefestival.nl/artist/caterina-barbieri-2026,,"Focusing around generative techniques and the creative potential of computation, Italian composer Caterina Barbieri has long channeled her curiosity into a cosmic mosaic of works touching on themes of memory, time, and perception. Through vivid modular synthesis and expanded electro-acoustic formats, she examines states of trance and altered consciousness. *Patterns of Consciousness* (2017) was Barbieri's breakthrough album, which introduced a larger audience to her alchemical approach to synthesis and composition. 

On her last album, *Myuthafoo* (2023), cavernous analogue synth soundscapes ring out with brilliant sustain that evaporates into the air. Before that, *Spirit Exit* (2022) offered an icy synth opus of compositions whose arpeggiated melodies were as complex as they were catchy. Barbieri's approach to music is surely theoretically grounded, yet her manifold compositions and works are also deeply intuitive. She treats her compositions as living organisms which are developed and altered through live performance; witness how they come to life at Rewire 2026's opening evening when Barbieri presents new music alongside guest musicians.","{""Instagram"": ""https://www.instagram.com/cat_barbieri/"", ""Website"": ""https://caterinabarbieri.com/"", ""Bandcamp"": ""https://caterinabarbieri.bandcamp.com/""}",Yes
Civilistjävel! & Mayssa Jallad,"A haunting fusion of minimal electronic soundscapes and experimental Arab folk, unearthing hidden histories.",,,,,"ambient, techno, experimental Arab folk, minimal, electronic",Sweden,"[using festival bio due to a lack of publicly available data] Translated as ""civilian bastard,"" Civilistjävel! is a project from Swedish producer Tomas Bodén – whose ambient and techno experiments from the 90s onwards were kept as private recordings until the late 2010s, when he finally released them. Mayssa Jallad is a Lebanese architect and urban researcher who uses her music to unearth the hidden histories beneath Beirut's urban sprawl – singing to and for a population held hostage by its historical violence. Jallad's 2023 album Marjaa: The Battle of the Hotels explored an episode of urban warfare at the beginning of the Lebanese Civil War, wherein militias fought for domain across Beirut's skyscrapers. In 2025, Civilistjävel! reworked the album, transforming Jallad's experimental Arab folk sound world into a minimal, dubbed-out electronic snowscape – paving the way for Jallad's voice to rise like a monument amidst its subtle tones. In this world premiere performance, the icy tech-ambience of Civilistjävel!'s productions and the warm, gentle lustre of Jallad's voice come together as a curious contradiction of coexisting forces.",,https://open.spotify.com/artist/3gwo3aexDXLiYhWICS2Qm3,,,"Civilistjävel! and Mayssa Jallad create a unique fusion of minimal electronic soundscapes and experimental Arab folk. Their collaboration reimagines Jallad's exploration of Beirut's historical violence with a stark, ambient aesthetic, allowing her evocative vocals to shine against a backdrop of icy, dub-infused textures. This partnership highlights a compelling juxtaposition of warmth and coldness, history and futurism.",8,2,Mixed,Yes,,https://www.rewirefestival.nl/artist/civilistjavel--mayssa-jallad,,"Translated as ""civilian bastard,"" Civilistjävel! is a project from Swedish producer Tomas Bodén – whose ambient and techno experiments from the 90s onwards were kept as private recordings until the late 2010s, when he finally released them. Mayssa Jallad is a Lebanese architect and urban researcher who uses her music to unearth the hidden histories beneath Beirut's urban sprawl – singing to and for a population held hostage by its historical violence. Jallad's 2023 album Marjaa: The Battle of the Hotels explored an episode of urban warfare at the beginning of the Lebanese Civil War, wherein militias fought for domain across Beirut's skyscrapers. In 2025, Civilistjävel! reworked the album, transforming Jallad's experimental Arab folk sound world into a minimal, dubbed-out electronic snowscape – paving the way for Jallad's voice to rise like a monument amidst its subtle tones. In this world premiere performance, the icy tech-ambience of Civilistjävel!'s productions and the warm, gentle lustre of Jallad's voice come together as a curious contradiction of coexisting forces.","{""Instagram"": ""https://www.instagram.com/mayssajallad/"", ""Website"": ""https://mayssajallad.com/"", ""Bandcamp"": ""https://mayssajallad.bandcamp.com/""}",Yes
Eraserhead x Xiu Xiu,"A haunting, avant-garde tribute to David Lynch's surreal masterpiece, blending experimental soundscapes with evocative visuals.",,,,,Experimental/Electronic,USA,"[using festival bio due to a lack of publicly available data] At Rewire 2016, Angela Seo and Jamie Stewart, aka Xiu Xiu, presented what is now considered a cult classic performance: Xiu Xiu Plays The Music of Twin Peaks. 10 years on, Rewire proudly invites Xiu Xiu back into a Lynchian world of intrigue, darkness, and monstrous strangeness in the form of Eraserhead x Xiu Xiu. Somewhere between a living video installation and an intense homage to a lost idol, Eraserhead x Xiu Xiu delivers a singular tribute to David Lynch’s masterpiece debut film. Through field recordings, custom-built instruments, organ, modular synths, voice, flashlights, electrical interference, and musique concrète, Xiu Xiu offer a radical reinterpretation of Eraserhead's iconic soundtrack by composer Alan Splet, accompanied by evocative visuals. Xiu Xiu's music has long pulled at the loose tethers that bind the illusion of contemporary US life, deconstructing – in a similar way to how Lynch often did – the candy-flavoured veneer atop that vast place seeped in darkness. It's hard to imagine a more fitting crossover for the group than Eraserhead, Lynch's wondrous and absurdist critique of nuclear family-making and post-industrial alienation – with the emphasis on nuclear and alien.",,https://open.spotify.com/artist/5JLqvjW3Nyom2OsRUyFsS9,,,"Eraserhead x Xiu Xiu is a collaborative project by Angela Seo and Jamie Stewart of Xiu Xiu, delivering a radical reinterpretation of the iconic soundtrack to David Lynch's 'Eraserhead'. Their performance blends experimental elements such as field recordings, custom-built instruments, modular synths, and musique concrète, creating an intense and immersive audio-visual experience. The project is a fitting homage to Lynch's dark, absurdist critique of modern life, aligning with Xiu Xiu's signature style of deconstructing the illusions of contemporary US culture.",8,2,Mixed,No,,https://www.rewirefestival.nl/artist/eraserhead-x-xiu-xiu,,"At Rewire 2016, Angela Seo and Jamie Stewart, aka Xiu Xiu, presented what is now considered a cult classic performance: Xiu Xiu Plays The Music of Twin Peaks. 10 years on, Rewire proudly invites Xiu Xiu back into a Lynchian world of intrigue, darkness, and monstrous strangeness in the form of Eraserhead x Xiu Xiu. Somewhere between a living video installation and an intense homage to a lost idol, Eraserhead x Xiu Xiu delivers a singular tribute to David Lynch’s masterpiece debut film. Through field recordings, custom-built instruments, organ, modular synths, voice, flashlights, electrical interference, and musique concrète, Xiu Xiu offer a radical reinterpretation of Eraserhead's iconic soundtrack by composer Alan Splet, accompanied by evocative visuals. Xiu Xiu's music has long pulled at the loose tethers that bind the illusion of contemporary US life, deconstructing – in a similar way to how Lynch often did – the candy-flavoured veneer atop that vast place seeped in darkness. It's hard to imagine a more fitting crossover for the group than Eraserhead, Lynch's wondrous and absurdist critique of nuclear family-making and post-industrial alienation – with the emphasis on nuclear and alien.","{""Website"": ""https://www.xiuxiu.org/"", ""Instagram"": ""https://www.instagram.com/hyunnies/""}",Yes
feeo,"An ethereal blend of lo-fi textures, minimalist percussion, and resonant vocal harmonies.",,,,,"drone, ambient, electronics, improvisation, minimalist dance music",UK,"[using festival bio due to a lack of publicly available data] Theodora Laird is the vocalist and multidisciplinary artist behind the project feeo. Goodness (2025), her debut album with label AD93, features wrinkled synth lines, bit-crushed into insectoid murmurs, and organ chords stretched out into infinity – suggesting an intimate yet haunting hymnal quality. This music carries past lives and ghostly histories; it arrives at the window like a familiar apparition, staying at arm's length before leaning in to share a whisper. Goodness is a trove of experiments in drone, ambient, electronics, improvisation, and minimalist dance music – all bound by themes of connection and isolation. Crackling tape hiss dissolves into brass swells and fragile piano melodies, cut through by Laird's gentle yet powerful voice – which carries the poetic lyricism and pristine tone of Broadcast's Trish Keenan but inflected with a hint of transcendent R&B flair. feeo revels in low-ends and sub-bass, extracting clubby frequencies and transporting them to her ethereal sound world of lo-fi textures, minimal percussion, and resonant vocal harmonies. For her live show, feeo will be joined by improviser and experimental musician Caius Williams on bass and guitar.",,https://open.spotify.com/artist/03aiitie1Nvoq2vvHF3kLR,,,"feeo, the project of Theodora Laird, crafts an intimate and haunting soundscape that blends drone, ambient, electronics, and minimalist dance music. Her debut album, Goodness (2025), is a collection of experimental compositions featuring wrinkled synths, bit-crushed textures, and ethereal organ chords. Her gentle yet powerful voice, reminiscent of Broadcast's Trish Keenan, adds a poetic and transcendent quality to her music, which is rich with lo-fi textures, sub-bass, and resonant vocal harmonies. Themes of connection and isolation are explored through innovative sound design and a unique fusion of genres.",8,2,Female,No,,https://www.rewirefestival.nl/artist/feeo,,"Theodora Laird is the vocalist and multidisciplinary artist behind the project feeo. Goodness (2025), her debut album with label AD93, features wrinkled synth lines, bit-crushed into insectoid murmurs, and organ chords stretched out into infinity – suggesting an intimate yet haunting hymnal quality. This music carries past lives and ghostly histories; it arrives at the window like a familiar apparition, staying at arm's length before leaning in to share a whisper. Goodness is a trove of experiments in drone, ambient, electronics, improvisation, and minimalist dance music – all bound by themes of connection and isolation. Crackling tape hiss dissolves into brass swells and fragile piano melodies, cut through by Laird's gentle yet powerful voice – which carries the poetic lyricism and pristine tone of Broadcast's Trish Keenan but inflected with a hint of transcendent R&B flair. feeo revels in low-ends and sub-bass, extracting clubby frequencies and transporting them to her ethereal sound world of lo-fi textures, minimal percussion, and resonant vocal harmonies. For her live show, feeo will be joined by improviser and experimental musician Caius Williams on bass and guitar.","{""Instagram"": ""https://www.instagram.com/_feeo_/"", ""Bandcamp"": ""https://feeo.bandcamp.com/""}",Yes
Fine,Hypnotic harmonies and genre-blending sounds from Copenhagen's Fine Glindvad Jensen.,,,,,Country/Dream Pop/Lo-fi Folk,Denmark,"[using festival bio due to a lack of publicly available data] From softly sung country ballads and jangling slacker rock to warm lo-fi folk and gleaming dream pop, Fine – the project of singer-songwriter and producer Fine Glindvad Jensen – offers a trove of hypnagogic harmonies. After a decade as vocalist for the group CHINAH, she began co-writing songs with Erika de Casier for K-pop stars NewJeans. Then, she stepped into the solo spotlight with her debut album *Rocky Top Ballads* (2024), which she fully wrote and produced. Fine's sound is chock-full of the hypnotic and charming warblephonics that characterise the larger Copenhagen scene coming out of Rytmisk Musikkonservatorium (Rhythmic Music Conservatory) – whose alumni include Astrid Sonne (with whom Glindvad has the project Coined), ML Buch, and de Casier. Her latest singles, sprinkled across 2025, form the groundwork for a forthcoming album where her sound evolves further, building upon the earworm melodies and the chiming guitar tones of *Rocky Top Ballads*.",,https://open.spotify.com/artist/2356dfnXmbn9pH0xE2sYQ5,,,"Fine blends softly sung country ballads, jangling slacker rock, lo-fi folk, and dream pop into a hypnotic and charming soundscape. As a former vocalist for CHINAH and a co-writer for K-pop stars NewJeans, Fine Glindvad Jensen brings a wealth of experience to her solo work. Her debut album *Rocky Top Ballads* (2024) showcases her talent as both a songwriter and producer, with a sound that reflects the innovative Copenhagen music scene. Her recent singles hint at further evolution, building on the melodic and atmospheric qualities of her debut.",8,1,Female,No,,https://www.rewirefestival.nl/artist/fine,,"From softly sung country ballads and jangling slacker rock to warm lo-fi folk and gleaming dream pop, Fine – the project of singer-songwriter and producer Fine Glindvad Jensen – offers a trove of hypnagogic harmonies. After a decade as vocalist for the group CHINAH, she began co-writing songs with Erika de Casier for K-pop stars NewJeans. Then, she stepped into the solo spotlight with her debut album *Rocky Top Ballads* (2024), which she fully wrote and produced. Fine's sound is chock-full of the hypnotic and charming warblephonics that characterise the larger Copenhagen scene coming out of Rytmisk Musikkonservatorium (Rhythmic Music Conservatory) – whose alumni include Astrid Sonne (with whom Glindvad has the project Coined), ML Buch, and de Casier. Her latest singles, sprinkled across 2025, form the groundwork for a forthcoming album where her sound evolves further, building upon the earworm melodies and the chiming guitar tones of *Rocky Top Ballads*.","{""Instagram"": ""https://www.instagram.com/fineglindvad/"", ""Bandcamp"": ""https://finefinefinefine.bandcamp.com/""}",Yes
Hayden Pedigo,Experimental guitarist blending American primitive style with ambient and avant-garde influences.,,,,,Ambient/Folk,USA,"Hayden Pedigo is an experimental guitarist and composer from Amarillo, Texas, blending elements of American primitive guitar with ambient and avant-garde influences. He gained attention for his intricate fingerpicking style and unique approach to acoustic music, as well as for his satirical city council campaign in 2019.",,https://open.spotify.com/artist/4OR0gbDLGgJ4fxoXB0ZCYZ,,,"Hayden Pedigo's music combines the intricate fingerpicking techniques of American primitive guitar with ambient textures, creating a meditative and evocative soundscape. His work has drawn comparisons to guitar legends like John Fahey, while his offbeat public persona adds an intriguing layer to his artistry.",8,,Male,No,,https://www.rewirefestival.nl/artist/hayden-pedigo-solo,,"Hayden Pedigo is a fresh link in the timeworn chain of post-blues instrumental solo fingerstyle guitarists. Homeschooled in ""the middle of nowhere,"" as an artist, he seeks an authentic and genuine connection with his audience, welcoming them into the fractures in linear time that his pieces create. Pedigo says of his music that it's in the long pauses, silences, and breaks that he pays tribute to the flat plains of his Texan hometown, Amarillo. ""There's a sadness in the sound of Amarillo,"" says Pedigo, but his music wafts between joy and sorrow, with him as wordless storyteller, appearing somewhere on the continuum near the sad clowns and the joyful funeral directors. *I'll Be Waving As You Drive Away* (2025) is the third record in his ""Motor Trilogy"" of records with label Mexican Summer – referred to as such due to their transient character and the vehicle motifs emblazoning their colourful, abstract covers. The colourful abstraction of Pedigo is not limited to his choice of album art; it seeps out into both his personality and the warm, blissful, strange music he creates. He performs twice at Rewire 2026, both solo, and with a string quartet.","{""Instagram"": ""https://www.instagram.com/amarillohighway/"", ""Website"": ""https://haydenpedigo.com/"", ""Bandcamp"": ""https://haydenpedigo.bandcamp.com/""}",Yes
