Artist,Tagline,Date,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify Link,YouTube,Instagram,AI Summary,AI Rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
"Tyler, The Creator","A genre-defying artist blending hip-hop, jazz, and soul with a bold, experimental edge.",,,,,Hip-Hop/Rap/Neo-Soul,USA,"Tyler, The Creator is an American rapper, producer, and songwriter known for his innovative approach to hip-hop, blending elements of jazz, soul, and alternative music. A founding member of the Odd Future collective, he has won multiple Grammy Awards and gained critical acclaim for albums like 'IGOR' and 'Call Me If You Get Lost.'",,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF,,,"Tyler, The Creator's music is a boundary-pushing fusion of hip-hop, jazz, and soul, characterized by introspective lyrics, bold production choices, and a distinctive artistic vision. His evolution from Odd Future's provocative leader to a Grammy-winning solo artist highlights his growth and versatility.",,,Male,Yes,,https://lowlands.nl/acts/tyler-the-creator/,"Van alle leden van het nooit officieel opgeheven, fluïde hiphopgezelschap Odd Future, uit de krochten van L.A., is Tyler, The Creator onbetwist het succesvolst en invloedrijkst. Daar doet de aan de lopende band megabanging albums uitbrengende Californiër dan ook de nodige moeite voor, als multitasker die zijn artiestennaam eer aandoet, want behalve als rapper is hij ook actief als producer, modeontwerper en acteur. Bovendien ontpopt Tyler zich steeds meer als zanger, en komen al zijn talent en creativiteit samen in slim uitgedachte spektakelshows.","Of all the members of the never officially disbanded, fluid hip-hop collective Odd Future from the depths of L.A., Tyler, The Creator is unquestionably the most successful and influential. The Californian, who consistently releases mega-banging albums, puts in considerable effort to earn that title as a multitasker living up to his artist name. In addition to being a rapper, he is also active as a producer, fashion designer, and actor. Moreover, Tyler is increasingly emerging as a singer, with all his talent and creativity converging in cleverly conceived spectacle shows.",,Yes
Lorde,New Zealand's alt-pop prodigy blending introspection with chart-topping hooks.,,,,,Pop/Alternative Pop/Electropop,New Zealand,"Lorde is a Grammy-winning singer-songwriter from New Zealand known for her introspective lyrics, minimalist production, and unique vocal style. She gained international fame with her debut single 'Royals' and has since released critically acclaimed albums such as 'Pure Heroine' and 'Melodrama.'",,https://open.spotify.com/artist/163tK9Wjr9P9DmM0AVK7lm,,,"Lorde's music is characterized by its minimalist production, introspective and poetic lyrics, and her distinctive, emotive vocal delivery. Her ability to blend alternative pop with mainstream appeal has earned her critical acclaim and a devoted global following.",,,Female,No,,https://lowlands.nl/acts/lorde/,"Kwaliteit gaat bij Lorde boven kwantiteit, een punctuele artiest bovendien: zoals gebruikelijk precies vier jaar na haar vorige album verscheen in juni 2025 weer een verse plaat van de Nieuw-Zeelandse singer-songwriter, het in een opvallende röntgenhoes gestoken ‘Virgin’. Een terugkeer naar de alt-pop waarmee ze doorbrak, elektronischer dan voorheen, maar poëtisch als altijd en weer een daverend succes. Afgaande op de bijbehorende Ultrasound Tour, die in november al een dolenthousiaste Afas Live aandeed, steekt Lorde ook onstage in topvorm. Doe maar diep buigen voor deze poproyal.","Quality takes precedence over quantity for Lorde, a punctual artist to boot: as usual, exactly four years after her previous album, the New Zealand singer-songwriter released a fresh record in June 2025, the strikingly X-ray-covered ‘Virgin’. A return to the alt-pop that brought her fame, more electronic than before, yet as poetic as ever and once again a resounding success. Judging by the accompanying Ultrasound Tour, which already thrilled a wildly enthusiastic Afas Live in November, Lorde is also in top form on stage. Bow deeply for this pop royal.",,Yes
New Wave,,,,,,,Netherlands,"[using festival bio due to a lack of publicly available data] The wave that came from Schiermonnikoog in 2015 blew many people away. A group of young – then still unknown – musicians had gathered there to make music. That album completely transformed Dutch hip-hop. The younger generation not only shattered the proverbial windows of old-school hip-hop, but more importantly, they introduced a new style with new names and a new audience. New Wave was, in every sense, the new generation, a wave so powerful that you can still ride it ten years later.",,NOT ON SPOTIFY,,,,,,,,,https://lowlands.nl/acts/new-wave/,"De golf die in 2015 van Schiermonnikoog afkwam heeft heel wat mensen omvergeblazen. Daar had zich een groep jonge – toen nog onbekende – muzikanten verzameld om muziek te maken. Dat album veranderde de Nederlandse hiphop compleet. De jonge garde gooide niet alleen de spreekwoordelijke ruiten in van de oude hiphop, veel belangrijker was hun nieuwe stijl met bijbehorende nieuwe namen en een nieuw publiek. New Wave was in alles de nieuwe lichting, een golf zo sterk dat je er tien jaar later nog op kunt surfen.","The wave that came from Schiermonnikoog in 2015 blew many people away. A group of young – then still unknown – musicians had gathered there to make music. That album completely transformed Dutch hip-hop. The younger generation not only shattered the proverbial windows of old-school hip-hop, but more importantly, they introduced a new style with new names and a new audience. New Wave was, in every sense, the new generation, a wave so powerful that you can still ride it ten years later.",,Yes
Parcels,"Fusing retro funk, disco, and modern pop into a sleek and infectious sound.",,,,,Indie Pop/Funk/Disco,Australia,"Parcels is a five-piece band from Australia known for their unique blend of funk, disco, and indie pop. They gained international attention with their collaboration with Daft Punk on the single 'Overnight' and have since released critically acclaimed albums showcasing their retro-inspired yet contemporary sound.",,https://open.spotify.com/artist/3oKRxpszQKUjjaHz388fVA,,,"Parcels masterfully combine the groove of 70s disco and funk with modern indie pop sensibilities, creating a polished and danceable sound. Their collaboration with Daft Punk and their dynamic live performances have cemented their reputation as a standout act in the indie music scene.",,5,Mixed,No,,https://lowlands.nl/acts/parcels/,"Altijd leuk, pakketjes! Wat deze vanuit Berlijn opererende Australiërs dan hebben ingepakt? Vooral veel lekkers waarmee je op festivals uitstekend kunt uitpakken:(nu-)disco, electropop, neosoul, synthpop, softrock. Net als Daft Punk, dat Parcels na de verhuizing op sleeptouw nam, heeft het kwieke kwintet een voorliefde voor vette en stuiterende baslijnen, filmische strijkers, retro synthesizers, funkgitaren, jazzy toetsen en vocale harmonieën. ‘Leaveyourlove’ (aan spaties doen ze niet) is geschreven tijdens een zonsondergang, en zo klinkt Parcels eigenlijk altijd: kleurrijk en vol pracht, met een vleugje melancholie.","Always fun, packages! So what have these Berlin-based Australians packed? Lots of treats perfect for making a splash at festivals: (nu-)disco, electropop, neosoul, synthpop, soft rock. Just like Daft Punk, who took Parcels under their wing after their move, this lively quintet has a fondness for fat, bouncing basslines, cinematic strings, retro synthesizers, funk guitars, jazzy keys, and vocal harmonies. 'Leaveyourlove' (they're not big on spaces) was written during a sunset, and that's exactly how Parcels always sounds: colorful and full of splendor, with a touch of melancholy.",,Yes
SOMBR,Turning unrequited longing and heartbreak into glittering indie pop anthems.,,,,,indie pop,United States,"[using festival bio due to a lack of publicly available data] Anyone know a better way to process unrequited longing and heartbreak than with colossal hooks, bittersweet sing-along melodies, and glittering grooves? No, exactly. New Yorker Shane Boose, better known as SOMBR, has turned it into an art form. His sharply written indie pop songs have literally evolved from bedroom creations into stadium productions, complete with theatrical supershows. And if you still don’t know those soulfully rocking hits like ‘12 to 12’ and ‘back to friends’ – how is that even possible?! – soon enough, you’ll know them by heart and feel them in your hips.",,https://open.spotify.com/artist/4G9NDjRyZFDlJKMRL8hx3S,,,"SOMBR, the moniker of New York-based artist Shane Boose, crafts emotionally resonant indie pop with a focus on colossal hooks, bittersweet melodies, and danceable grooves. His evolution from bedroom productions to theatrical stadium shows highlights his ability to connect with audiences on both an intimate and grand scale. Tracks like '12 to 12' and 'back to friends' showcase his knack for blending heartfelt lyrics with infectious rhythms.",,1,male,No,,https://lowlands.nl/acts/sombr/,"Iemand een betere manier om onbeantwoord verlangen en liefdesverdriet te verwerken dan met kolossale hooks, bitterzoete meezingbare melodieën en glitterende grooves? Nee, precies. De New Yorkse Shane Boose, beter bekend als SOMBR, maakte er een kunst van. En zo ontpopten zijn scherp geschreven indiepopsongs zich letterlijk van slaapkamercreaties tot stadionproducties, inclusief theatrale supershows. En mocht je die soulvol rockende hits als ‘12 to 12’ en ‘back to friends’ nu nog steeds niet kennen – hoe dan?! – straks ken je ze sowieso uit je hoofd én heupen.","Anyone know a better way to process unrequited longing and heartbreak than with colossal hooks, bittersweet sing-along melodies, and glittering grooves? No, exactly. New Yorker Shane Boose, better known as SOMBR, has turned it into an art form. His sharply written indie pop songs have literally evolved from bedroom creations into stadium productions, complete with theatrical supershows. And if you still don’t know those soulfully rocking hits like ‘12 to 12’ and ‘back to friends’ – how is that even possible?! – soon enough, you’ll know them by heart and feel them in your hips.",,Yes
TURNSTILE,"Blending hardcore punk with infectious grooves and experimental flair, TURNSTILE redefines modern punk.",,,,,Hardcore Punk/Alternative Rock,USA,"TURNSTILE is a Baltimore-based band known for their innovative approach to hardcore punk, incorporating elements of groove, melody, and experimentation. Their critically acclaimed 2021 album 'GLOW ON' has solidified their reputation as one of the most exciting acts in contemporary punk music.",,https://open.spotify.com/artist/2qnpHrOzdmOo1S4ox3j17x,,,TURNSTILE's fusion of hardcore punk with melodic and experimental elements has earned them critical acclaim and a devoted fanbase. Their energetic live performances and genre-defying sound make them a standout in modern punk.,,5,Male,No,,https://lowlands.nl/acts/turnstile/,NEVER ENOUGH.,NEVER ENOUGH.,,Yes
2hollis,"A groundbreaking force in hyperpop blending club, pop, hip-hop, and emo influences.",,,,,hyperpop,United States,"[using festival bio due to a lack of publicly available data] In every corner of the internet, 21-year-old American rapper and producer 2hollis is being hailed as a messiah. Hollis Parker Frazier-Herndon is truly unique in his eclectic mix of club, pop, hip-hop, and emo. You can hear the tender bangers of Bladee and Yung Lean, the autotune experiments of Ye, and the party mindset of Charli XCX reflected in his self-composed music. Yet, 2hollis is much more than just a list of trendy influences. This is raw, authentic hyperpop: groundbreaking in sound, made for a massive audience.",,https://open.spotify.com/artist/72NhFAGG5Pt91VbheJeEPG,,,"2hollis crafts a unique and authentic hyperpop sound that merges the emotional depth of emo, the high-energy beats of club music, and the experimental autotune stylings of Ye. Drawing inspiration from artists like Bladee, Yung Lean, and Charli XCX, his music is both innovative and accessible, appealing to a wide audience while pushing genre boundaries.",,1,Male,,,https://lowlands.nl/acts/2hollis/,"Tot in alle uithoeken van het internet wordt de 21-jarige Amerikaanse rapper en producer 2hollis ontvangen als een messias. Hollis Parker Frazier-Herndon is immers uniek in zijn eclectische mix van club, pop, hiphop en emo. Je hoort de teergevoelige bangers van Bladee en Yung Lean, de autotune-experimenten van Ye en de party mindset van Charli xcx terug in zijn zelf gecomponeerde muziek. Al is 2hollis veel meer dan een opsomming van hippe invloeden. Dit is rauwe, authentieke hyperpop: vooruitstrevend in geluid, gemaakt voor een megapubliek.","In every corner of the internet, 21-year-old American rapper and producer 2hollis is being hailed as a messiah. Hollis Parker Frazier-Herndon is truly unique in his eclectic mix of club, pop, hip-hop, and emo. You can hear the tender bangers of Bladee and Yung Lean, the autotune experiments of Ye, and the party mindset of Charli XCX reflected in his self-composed music. Yet, 2hollis is much more than just a list of trendy influences. This is raw, authentic hyperpop: groundbreaking in sound, made for a massive audience.",,Yes
Amyl and The Sniffers,High-energy Australian punk rockers blending raw energy with a modern edge.,,,,,Punk Rock/Garage Rock,Australia,"Amyl and The Sniffers are a Melbourne-based punk rock band known for their explosive live performances and raw, high-octane sound. Their self-titled debut album won the 2019 ARIA Award for Best Rock Album, and they have gained international acclaim for their unapologetic lyrics and charismatic frontwoman, Amy Taylor.",,https://open.spotify.com/artist/3NqV2DJoAWsjl787bWaHW7,,,"Amyl and The Sniffers deliver a ferocious blend of punk and garage rock, characterized by blistering guitar riffs, relentless energy, and Amy Taylor's commanding vocal presence. Their music captures the raw spirit of classic punk while injecting a modern, rebellious attitude.",,4,Female,No,,https://lowlands.nl/acts/amyl-and-the-sniffers/,"Boos zijn over onrechtvaardigheid, maar wel de lol van het leven inzien: dat is in een circle pit de invalshoek van Amyl and The Sniffers. De punkrockers uit Melbourne steken een vrolijke middelvinger op naar seksisme, kapitalisme en al die andere -ismen waar we vanaf moeten. Amy Taylor en haar mates namen hun derde album ‘Cartoon Darkness’ op in Studio 606, het rockwalhalla van fan Dave Grohl. In augustus komt de boodschap op die plaat tot leven tijdens dé Flevopolderparty: beleef plezier aan je woede!","Being angry about injustice, yet still seeing the fun in life: that's the approach of Amyl and The Sniffers in a circle pit. The punk rockers from Melbourne cheerfully flip the bird to sexism, capitalism, and all those other -isms we need to get rid of. Amy Taylor and her mates recorded their third album, 'Cartoon Darkness,' at Studio 606, the rock haven of fan Dave Grohl. In August, the message of that record comes to life during the ultimate Flevopolder party: find joy in your rage!",,Yes
Antoon,Dutch pop sensation blending catchy melodies with contemporary beats.,,,,,Pop/Rap,Netherlands,"Antoon is a Dutch singer, rapper, and producer known for his infectious pop and rap tracks. He gained significant popularity with hits like 'Hyperventilatie' and 'Vluchtstrook', becoming one of the rising stars in the Dutch music scene.",,https://open.spotify.com/artist/5sBoNBXFMzoZjgHLbQueeG,,,"Antoon's music combines modern pop sensibilities with rap influences, creating an accessible yet dynamic sound that resonates with younger audiences. His ability to craft catchy hooks and relatable lyrics has propelled him to the forefront of the Dutch music charts.",,,Male,No,,https://lowlands.nl/acts/antoon/,"Antoon sprak begin 2026 de wens uit Lowlands in de fik te zetten. Gaat hem zeker lukken, want het streamingkanon stapelt de successen opeen: uitverkochte shows, prijzen, records. Hoe de jongste student aan de Herman Brood Academie ooit dat flikt? Simpel: hij is een allround popster, die begrijpt dat alles valt of staat met pakkende nummers over liefde, kapotgaan en weer opkrabbelen. Soms met een scherp randje hiphop en attitude, soms elektronisch en dansbaar, soms gevoelig. Antoon zet zijn dromen niet meer aan de kant.","At the beginning of 2026, Antoon expressed his wish to set Lowlands on fire. He’s bound to succeed, as the streaming powerhouse keeps stacking up successes: sold-out shows, awards, records. How does the youngest student ever at the Herman Brood Academy pull it off? Simple: he’s an all-around pop star who understands that everything hinges on catchy songs about love, falling apart, and getting back up again. Sometimes with a sharp edge of hip-hop and attitude, sometimes electronic and danceable, sometimes emotional. Antoon no longer puts his dreams on hold.",,Yes
Blood Orange,"A genre-defying artist blending R&B, funk, and indie pop with introspective lyricism.",,,,,R&B/Indie Pop/Funk,UK,"Blood Orange is the moniker of British musician Devonté Hynes, known for his innovative blend of R&B, funk, and indie pop. He has garnered critical acclaim for his introspective lyrics, lush production, and collaborations with artists like Solange, FKA twigs, and Carly Rae Jepsen.",,https://open.spotify.com/artist/6LEeAFiJF8OuPx747e1wxR,,,"Blood Orange crafts a unique sound that merges smooth R&B grooves with experimental indie pop and funk influences. His ability to seamlessly blend genres, paired with his poignant and personal songwriting, has earned him widespread critical acclaim and a reputation as a boundary-pushing artist.",,,Male,Yes,,https://lowlands.nl/acts/blood-orange/,"Staat er geen samenwerking met grootheden als Florence Welch, A$AP Rocky, Alex Turner of FKA twigs in de agenda, dan verpakt multi-instrumentalist Dev Hynes zijn songwriterfantasie in Blood Orange: R&B meets indie meets warme synthpop. À la Prince dus, maar dan aangevuld met eeuwenoude accenten van Strauss en Bach. In aanloop naar het in 2025 verschenen album ʻEssex Honeyʼ kende de Londenaar een rouwperiode, die hij op zijn kenmerkende orkestrale wijze van zich af musiceert. Live komt dat allemaal even hard als engelachtig binnen.","If there’s no collaboration with greats like Florence Welch, A$AP Rocky, Alex Turner, or FKA twigs on the agenda, multi-instrumentalist Dev Hynes channels his songwriting fantasies into Blood Orange: R&B meets indie meets warm synth-pop. In the style of Prince, but enriched with timeless accents from Strauss and Bach. Leading up to the 2025 release of the album ‘Essex Honey,’ the Londoner experienced a period of mourning, which he processes in his signature orchestral style. Live, it all hits as powerfully as it does angelically.",,Yes
