Artist,Tagline,Date,Start Time,End Time,Stage,Genre,Country,Bio,Website,AI Summary,AI Rating,Spotify Link,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
A Perfect Circle,"Atmospheric rock, where darkness ascends.",,,,,Alternative Rock/Hard Rock,USA,"A Perfect Circle is an American rock supergroup formed in 1999 by guitarist Billy Howerdel and Tool vocalist Maynard James Keenan. Known for their atmospheric and melodic sound, the band has released critically acclaimed albums such as 'Mer de Noms' and 'Thirteenth Step', blending elements of rock, art rock, and progressive music.",,"A Perfect Circle is praised for their intricate compositions and Keenan's distinctive vocal delivery, with their live performances often noted for their precision and emotional depth.",8,https://open.spotify.com/artist/4DFhHyjvGYa9wxdHUjtDkc,5,Male,No,,https://www.rockwerchter.be/en/acts/a-perfect-circle,,,,No
All Them Witches,"Cosmic grooves, heavy Southern spells",,,,,Psychedelic Rock/Blues Rock/Stoner Rock,USA,"All Them Witches is a Nashville-based band known for their blend of psychedelic rock, blues, and stoner rock, creating atmospheric and dynamic music. They have gained a strong following through their extensive touring and critically acclaimed albums like 'Dying Surfer Meets His Maker' and 'Sleeping Through the War.'",,"All Them Witches are praised for their immersive live performances and ability to create a rich, textured sound that resonates with fans of heavy, experimental rock.",7,https://open.spotify.com/artist/29Wmfm1CojrjQ3aQP0FI65,4,Male,No,,https://www.rockwerchter.be/en/acts/all-them-witches,,,,No
The Cure,Architects of melancholy and magic,,,,,Post-punk/New Wave/Gothic Rock,UK,"The Cure is a seminal British band formed in 1978, known for their pioneering role in the post-punk and gothic rock genres, with iconic albums like 'Disintegration' and hits such as 'Just Like Heaven' and 'Friday I'm in Love'. Their music blends melancholic lyrics with atmospheric instrumentation, earning them a devoted global fanbase and critical acclaim.",,"The Cure is celebrated for their emotional depth, innovative sound, and captivating live performances, making them a cornerstone of alternative music history.",9,https://open.spotify.com/artist/7bu3H8JO7d0UbMoVzbo70s,5,Male,No,,https://www.rockwerchter.be/en/acts/the-cure,,"The Cure, from Crawley in Sussex, England, first took to the stage in 1978. Their breakthrough came in 1980 with the album Seventeen Seconds, which features their first hit single “A Forest.” To date, the band has played around 1,800 concerts and released several concert films, books and more. In 2019, they were inducted into the Rock and Roll Hall of Fame. Their catalogue includes classics such as “Boys Don’t Cry,” “Just Like Heaven,” “Lovesong,” “Inbetween Days,” “Pictures of You,” “Lullaby,” and “Friday I’m In Love,” as well as some of the most influential albums in modern pop history: Seventeen Seconds, Pornography, Kiss Me Kiss Me Kiss Me, Disintegration, and Wish. At the end of last year, they returned with their first new album in sixteen years: Songs of a Lost World, which was met with rave reviews. This year followed Mixes of a Lost World, a stunning remix album. Over the past 47 years, the band has had a total of 13 members. In 2026, five of them will take the stage: Robert Smith (vocals and guitar), Simon Gallup (bass), Jason Cooper (drums), Roger O’Donnell (keyboards), and Reeves Gabrels (guitar).",,No
Dylan Gossett,Melancholy beats meet shimmering dreams.,,,,,Indie Pop / Alternative,USA,No verifiable information is currently available about this artist.,,,5,https://open.spotify.com/artist/4H4M0Y4cN39zIVDHvdW53x,,Male,No,,https://www.rockwerchter.be/en/acts/dylan-gossett,,,,No
Ethel Cain,Southern Gothic's ethereal storyteller.,,,,,Indie Pop/Alternative,USA,"Ethel Cain is an American singer-songwriter known for her haunting, atmospheric music that blends elements of indie pop, alternative, and Southern Gothic themes. Her debut album 'Preacher’s Daughter' received critical acclaim for its narrative depth and unique sound.",,"Ethel Cain has been praised for her evocative storytelling and immersive live performances, which showcase her ability to create a deeply emotional connection with her audience.",7,https://open.spotify.com/artist/0avMDS4HyoCEP6RqZJWpY2,,Female,No,,https://www.rockwerchter.be/en/acts/ethel-cain,,,,No
Gorillaz,Animated anthems for a digital world,,,,,Alternative/Virtual Band/Electronic,UK,"Gorillaz is a virtual band created by musician Damon Albarn and artist Jamie Hewlett, blending alternative rock, hip-hop, and electronic music. Known for their innovative animated personas, they have achieved global success with hits like 'Clint Eastwood' and 'Feel Good Inc.'",,"Gorillaz is celebrated for their genre-defying sound and groundbreaking multimedia approach, making them a standout act both in studio recordings and visually immersive live performances.",9,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,,Male,No,,https://www.rockwerchter.be/en/acts/gorillaz,,"Gorillaz, the BRIT and Grammy-winning band, formed following a collision of mishaps, meetings and pure luck to blow up a pre-digital world with their colourful backstory and ground-breaking virtual ways. Based at Kong Studios, Gorillaz settled into a life of musical innovation with an eye-wateringly exciting roster of collaborators, a list that includes musical legends, geniuses and future stars from Elton John to Little Simz, MF Doom to Jean-Michel Jarre, Grace Jones to slowthai, Kali Uchis to Sidiki Diabaté, plus so many more. With eight albums to their name, Gorillaz (2001), Demon Days (2005), Plastic Beach (2010), The Fall (2011), Humanz (2017), The Now Now (2018), Song Machine: Season One – Strange Timez (2020) and Cracker Island (2023), Gorillaz is a truly global phenomenon, achieving success in entirely new and unique ways, touring the world from San Diego to Syria, Montevideo to Manchester and winning numerous awards including the coveted Jim Henson Creativity Honor. The band’s recent acclaimed run of London shows to celebrate 25 years of Gorillaz saw The Guardian declare: “Damon Albarn and Jamie Hewlett’s cartoon band are still riveting and relevant”, with London’s Evening Standard adding “Albarn and Hewlett are still legions ahead of the pack,”, and The Observer headline proclaim “Gorillaz stun in star-studded show of lush visuals and borderless music.” Gorillaz’ new studio album The Mountain will be released in 2026.",,No
Halsey,Alt-pop's raw and fearless poet,,,,,Pop/Alternative Pop/Electropop,USA,"Halsey is an American singer-songwriter known for their genre-blending style, combining elements of pop, alternative, and electronic music. They have achieved significant commercial success with hits like 'Without Me' and 'Bad at Love,' and are recognized for their introspective lyrics and dynamic vocal performances.",,"Halsey is widely praised for their ability to craft deeply personal and relatable music, and their live performances are known for emotional intensity and strong stage presence.",8,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,,Non-binary,Yes,,https://www.rockwerchter.be/en/acts/halsey,,,,No
The Haunted Youth,Melancholy dreams wrapped in sound.,,,,,Dream Pop/Psych Pop,Belgium,"The Haunted Youth is a Belgian band known for their dreamy, melancholic soundscapes, blending elements of dream pop and psychedelic pop. Their music has gained international attention for its lush production and emotive melodies.",,"The Haunted Youth has been praised for their atmospheric sound and strong live performances, making them a promising act in the indie and festival circuits.",7,https://open.spotify.com/artist/2BJzRLleDH2jTAArbI4Xod,,,,,https://www.rockwerchter.be/en/acts/the-haunted-youth,,,,No
Kasabian,"Anthemic fire, born for the stage",,,,,Alternative Rock/Indie Rock/Electronic Rock,UK,"Kasabian is a British rock band formed in Leicester in 1997, known for their blend of electronic rock and indie influences. They have achieved critical and commercial success with multiple chart-topping albums and hits like 'Fire' and 'Club Foot', and are renowned for their energetic live performances.",,"Kasabian is celebrated for their anthemic sound and ability to captivate large festival crowds, making them a standout act in the alternative rock scene.",8,https://open.spotify.com/artist/11wRdbnoYqRddKBrpHt4Ue,4,Male,No,,https://www.rockwerchter.be/en/acts/kasabian,,,,No
Kneecap,Irish-speaking rebels of raw rap.,,,,,Hip-hop/Rap,UK,"Kneecap is a Belfast-based Irish-language hip-hop trio known for their politically charged lyrics, humor, and energetic performances. They have gained a cult following for their unique blend of Irish culture and contemporary rap.",,"Kneecap has been praised for their ability to merge activism with music, delivering memorable live performances that are both provocative and entertaining.",7,https://open.spotify.com/artist/1ZVACPeq7ccGCoUXwtafUU,3,Male,No,,https://www.rockwerchter.be/en/acts/kneecap,,,,No
