Artist,Tagline,Date,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify,YouTube,Instagram,Photo URL,My take,My rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Gorillaz,The most famous animated band on earth,2026-06-14,,,,Alternative Rock/Electronic,UK,"Gorillaz is a British virtual band created in 1998 by musician Damon Albarn and artist Jamie Hewlett. Known for their genre-blending sound that incorporates elements of rock, hip-hop, electronic, and world music, the band has achieved global success with hits like 'Clint Eastwood' and 'Feel Good Inc.' and has won multiple awards, including a Grammy.",,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/9fc9/8a/21aa36458610619e4cbdc560f00d58e96087aeee.png,"Gorillaz's innovative fusion of diverse musical styles, combined with their unique virtual band concept and visually striking animated personas, has made them a groundbreaking act in modern music. Their ability to collaborate with a wide range of artists has kept their sound fresh and relevant over decades.",9,,Male,No,,https://www.bestkeptsecret.nl/bands/gorillaz,,"Almost three decades in, the adventures of 2D, Murdoc Niccals, Russel Hobbs and Noodle have guided us across Plastic Beaches and Cracker Islands, and now in its ninth episode, clambering up The Mountain. Indeed, the novelty of starting an animated band became so much more for founders Damon Albarn and Jamie Hewlett. Behind the celluloid, Gorillaz has become a cross-generational, genre-blending community of legends and current greats – as glorious and vital as ever.",,No
Jack White,Rock music's chief anti-hero,2026-06-12,,,,Rock/Blues Rock/Garage Rock,USA,"Jack White is an American musician, singer, and songwriter best known as the frontman of The White Stripes. Renowned for his raw, blues-inspired guitar work and innovative production, he has also achieved success with other projects like The Raconteurs and The Dead Weather, as well as a prolific solo career.",,https://open.spotify.com/artist/4FZ3j1oH43e7cukCALsCwf,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/87a4/e1/b7a25b5efccdaa459575a85dc82875726a00f34b.jpg,Jack White's ability to fuse vintage blues and garage rock with modern sensibilities has made him a defining figure in 21st-century rock music. His innovative guitar techniques and commitment to analog recording have earned him critical acclaim and a lasting influence on the genre.,9,,Male,No,,https://www.bestkeptsecret.nl/bands/jack-white,,"A legendary guitar hero in days where that concept seems rarer and rarer, Jack White never plays it safe.",,No
Nick Cave & The Bad Seeds,Legendary songsmith of darkness and devotion,2026-06-13,,,,Post-punk/Alternative rock,Australia,"Nick Cave & The Bad Seeds are an Australian rock band formed in 1983, known for their dark, brooding sound that blends post-punk, gothic rock, and blues influences. Fronted by the enigmatic Nick Cave, the band has released critically acclaimed albums like 'Murder Ballads' and 'The Boatman's Call,' earning a reputation for their poetic lyricism and intense live performances.",,https://open.spotify.com/artist/4UXJsSlnKd7ltsrHebV79Q,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/a026/1b/6ad71187514497cdb428919ce4171f68091e8628.jpg,"Nick Cave & The Bad Seeds are celebrated for their ability to merge haunting narratives with a dynamic range of musical styles, from raw, visceral energy to melancholic balladry, making them one of the most influential acts in alternative music.",9,,Male,No,,https://www.bestkeptsecret.nl/bands/nick-cave-the-bad-seeds,,"Menacing, majestic and often-times touching the divine, they have one of the most acclaimed back catalogs around. Nick Cave's ability to veer from blackened goth punk sermons to a tender-hearted gospel ballad is no longer a secret so well kept. After a thunderous show in 2022, Nick Cave and the Bad Seeds return to Hilvarenbeek with hymns of faith, hope and carnage both new and old.",,No
∑tella,Captivating Mediterranean dream pop,2026-06-14,,,,Indie Pop/Electronic,Greece,"∑tella is a Greek indie pop artist known for her unique blend of dreamy synth-pop and electronic beats, often incorporating elements of traditional Greek music into her sound. She has gained recognition for her captivating vocals and intricate production, releasing music through prominent indie labels like Sub Pop.",,https://open.spotify.com/artist/2tBWWgGv7H5ymPtJrT1rNu,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/da21/b0/a27c8d629ccfd4d9405b4f22223bb1f7dd15c91c.jpg,"∑tella's music stands out for its fusion of ethereal synth textures with subtle nods to her Greek heritage, creating a sound that is both modern and rooted in tradition. Her ability to craft atmospheric yet accessible tracks has earned her a growing international audience.",7,,Female,No,,https://www.bestkeptsecret.nl/bands/tella,,"In Greek songwriter Σtella’s music, you can literally smell the sea air and the dizzy spells of unspoken attraction.",,No
Ão,Warm-blooded & ethereal electronic pop,2026-06-12,,,,,Belgium,"[using festival bio due to a lack of publicly available data] Belgian formation Ão’s debut album ‘Ao Mar’ is Portuguese for ‘to the sea’.It’s hard to imagine a more apt way to describe their enchanting, constantly unfurling music. Ão’s songs are texturally rich odysseys where electronic music, dream pop, saudade, ambient folk and neojazz constantly shape-shift: habitually in the most surprising, emotionally resonant ways.",,https://open.spotify.com/artist/2FnhKB01CBc0KBjcTDDOod,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/c3bf/22/ca945358d824fdf4594edb36e5e4aeb872595b79.jpg,,,,,,,https://www.bestkeptsecret.nl/bands/ao,,"Belgian formation Ão’s debut album ‘Ao Mar’ is Portuguese for ‘to the sea’.It’s hard to imagine a more apt way to describe their enchanting, constantly unfurling music. Ão’s songs are texturally rich odysseys where electronic music, dream pop, saudade, ambient folk and neojazz constantly shape-shift: habitually in the most surprising, emotionally resonant ways.",,No
Aldous Harding,Chameleon-like alt folk siren,2026-06-13,,,,Indie Folk/Alternative,New Zealand,"Aldous Harding is a New Zealand singer-songwriter known for her enigmatic and theatrical performances. Her music blends folk and alternative influences, characterized by haunting vocals and poetic lyricism, earning critical acclaim and a dedicated following.",,https://open.spotify.com/artist/3lmR0qMiGuoIF9UC54egcG,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/805c/50/5b6dfc06f773b7d260cc8d410da3c25d316f66ea.jpg,"Harding's unique vocal delivery and ability to weave intricate, emotive narratives through her music set her apart in the indie folk scene. Her albums, such as 'Party' and 'Designer,' showcase her experimental approach and artistic depth.",8,,Female,No,,https://www.bestkeptsecret.nl/bands/aldous-harding,,"Aldous Harding is one of those rare shapeshifting artists that comes along every so often.Sometimes in the very same song, she can be theatrical, comedic, soothing and frightening in a heartbeat – leaving audiences catching their breath on what could happen next. Since Harding's 2019 breakthrough album Designer, her mystique and magnetism only seems to have grown, writing songs that often capture the phenomena inside the gaps of living we tend to overlook.",,No
Amaarae,Transatlantic R&B & pop marvel,2026-06-12,,,,Afropop/R&B/Alté,Ghana,"Amaarae is a Ghanaian-American singer, songwriter, and producer known for her genre-blending sound that fuses Afropop, R&B, and Alté influences. Her debut album, 'The Angel You Don’t Know,' received critical acclaim for its innovative production and bold exploration of themes like identity and sexuality.",,https://open.spotify.com/artist/21UPYSRWFKwtqvSAnFnSvS,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/4248/b7/d0762c3e0dc8786a6ce71ba8841f4b43b34c00e4.jpg,"Amaarae's distinctive sound combines sultry R&B vocals with experimental Afropop and Alté rhythms, creating a unique and boundary-pushing musical identity. Her work is celebrated for its boldness and fresh approach to contemporary African music.",8,,Female,Yes,,https://www.bestkeptsecret.nl/bands/amaarae,,"Born in the Bronx with Ghanaian roots, this fast-rising producer, songwriter and vocalist pens sweltering tracks that are both ethereal and club-ready. Amaarae's transatlantic R&B/Afrobeat hybrid pop is rooted in highlife, baile funk and dance music, yet bares a non-conformist, playful streak that trail blazes straight into the future.",,No
Apichat Pakwan,Balmy blend of Thai music & electronics,2026-06-14,,,,Electronic/World Music,Netherlands,"Apichat Pakwan is a Dutch-Thai collective that blends traditional Isan (Northeastern Thai) music with modern electronic beats, creating a unique fusion of cultural and contemporary sounds. Their work often incorporates traditional Thai instruments like the khaen alongside electronic production, earning them recognition in the global music scene.",,https://open.spotify.com/artist/1DirWCP9eQLGP1Ik7lH5qg,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/a6af/cc/0e73896d0cff6cefb615fe08a6d53a88dde7c6aa.jpg,"Their innovative fusion of traditional Isan music with electronic production results in a vibrant and culturally rich sound, standing out in the global electronic music landscape.",7,,Mixed,Yes,,https://www.bestkeptsecret.nl/bands/apichat-pakwan,,"Apichat Pakwan brings a lively crossover of electronics and Thai esan and molam movements: the sweetest balance between the modern and the traditional.It unfolds miraculously live as well: you have producer Olivier Schreuder serving up beats that blend seamlessly with the Thai musicians and singers: not in that crude mash-up kind of way, but warmly courting each other in a tryst. This approach carries over to audiences, creating a hot & sweltering dancefloor environment.",,No
Ata Kak,Infectious Afrobeats cult hero,2026-06-12,,,,Highlife/Hip-Hop/Electronic,Ghana,"Ata Kak is a Ghanaian musician whose unique blend of highlife, hip-hop, and electronic music gained global recognition after his 1994 album 'Obaa Sima' was rediscovered and reissued by the label Awesome Tapes From Africa in 2015. His music is characterized by lo-fi production, infectious rhythms, and his distinctive vocal delivery.",,https://open.spotify.com/artist/172WdsNGJYNNXVNQ1tXfrB,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/a2ac/c7/4fcafc6f41d67b047c73005b25c96f2e14e29c8f.jpg,"Ata Kak's fusion of traditional Ghanaian highlife with 90s hip-hop beats and lo-fi electronic production creates a sound that is both nostalgic and ahead of its time, making him a cult figure in global music circles.",7,,Male,Yes,,https://www.bestkeptsecret.nl/bands/ata-kak,,"Ata Kak’s rise as cult phenomenon shows us the power of Doing It Yourself – how it can cultivate some completely original pop music.Yaw Atta-Owusu knew he liked reggae music, he liked funk, he liked Ghanaian high life music, and he liked Grandmaster Flash. But why pick just one? With the necessary recording equipment, his signature Twi flow and an unblemished zest for life, Ata Kak’s legendary LP Obaa Sima became a global grassroots success. And we're still dancing feverishly to its tunes today.",,No
BCUC,Fast & furious Afro-psych jams,2026-06-13,,,,Afro-psychedelic funk/Traditional South African music,South Africa,"BCUC (Bantu Continua Uhuru Consciousness) is a South African band known for their fusion of traditional South African music with modern genres like funk, hip-hop, and punk, creating a powerful and politically charged sound. Their music often features hypnotic rhythms, chants, and socially conscious lyrics, earning them international acclaim and a strong presence in the global festival circuit.",,https://open.spotify.com/artist/5CGnQOjeOoZW4a4FoPhUxW,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/0230/68/1042a7a3e8dbd502211e14646d76c7a9bfe23fa2.jpg,"BCUC's ability to blend traditional South African sounds with contemporary genres results in a raw, energetic, and deeply engaging musical experience. Their live performances are particularly notable for their intensity and communal spirit, making them a standout act in world music.",8,7,Mixed,Yes,,https://www.bestkeptsecret.nl/bands/bcuc,,"The Afropsychedelic pounce of Bantu Continua Uhuru Consciousness screams with a zealous, ceremonial spirit.BCUC's formula seems so simple when you break it down: bass, drums, percussion, voice chants all conspiring to spark frantic, joyous movement. And the Soweto, South-Africa based collective does this better than anyone: this is music awakened from ancient lineage, yet visionary, loud and transcending convention of what a band can be.",,No
