Artist,Tagline,Day,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify,YouTube,Instagram,AI Summary,AI Rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Twin Tribes,,,,,,Post-punk/Darkwave,USA,"Twin Tribes is a darkwave/post-punk duo from Texas, known for their atmospheric sound that blends haunting melodies, driving basslines, and ethereal synths. Since their formation in 2017, they have gained a dedicated following in the darkwave and goth music scenes with albums like 'Shadows' and 'Ceremony.'",,,,,"Twin Tribes masterfully combine the brooding aesthetics of post-punk with lush, synth-driven darkwave, creating a sound that is both nostalgic and modern. Their music is characterized by moody atmospheres, hypnotic rhythms, and introspective lyrics, earning them a strong reputation in the global darkwave community.",8,2,Male,Yes,,https://www.grauzonefestival.nl/twin-tribes,,"Finally, we invitedTwin Tribesto Grauzone Festival 2026! Hailing from Texas, the duo mergesdarkwave, post-punk, synthpop, and goth-rockinto a sound deeply rooted in ’80s melancholy, yet delivered with a fresh, modern edge.",,No
Sarin,,,,,,,,"[using festival bio due to a lack of publicly available data] Having performed at Grauzone as one-half of General Dynamics (alongside William Maybelline of Lebanon Hanover/Qual), Emad Dabiri now returns under his fierce solo alias: SARIN.",,https://open.spotify.com/artist/34TJfRZxMi44Ei5fSN6Igh,,,,,1,he,,,https://www.grauzonefestival.nl/sarin,,"Having performed at Grauzone as one-half of General Dynamics (alongside William Maybelline of Lebanon Hanover/Qual), Emad Dabiri now returns under his fierce solo alias: SARIN.",,No
Nürnberg,,,,,,Post-punk/Indie Rock,Belarus,"Nürnberg is a post-punk band from Minsk, Belarus, known for their melancholic soundscapes, atmospheric guitar work, and introspective lyrics. They have gained recognition in the Eastern European music scene for their emotionally charged performances and modern take on the post-punk genre.",,,,,"Nürnberg combines brooding post-punk aesthetics with lush, atmospheric instrumentals and poignant lyricism, capturing a sense of emotional depth and modernity. Their music resonates with fans of the genre, particularly in Eastern Europe, where they have built a strong following.",8,4,Male,No,,https://www.grauzonefestival.nl/nurnberg,,"Belarus post-punk duoNürnbergfrom Minsk was formed in 2016 byYury Luhautsou(vocals, bass, synths) andAleh Sautin(guitar). Their music is deeply rooted in the atmosphere of post-Soviet cities, channeling themes of depression, existentialism, social pressures, fatigue, but also the essential human capacities for love and compassion.",,No
The Mall,,,,,,synth-punk,United States,"[using festival bio due to a lack of publicly available data] Mark Plant, better known under the moniker The Mall, is a St. Louis–based musician whose blistering brand of synth-punk has been carving out a unique space between punk energy and electronic intensity.",,,,,,,1,male,,,https://www.grauzonefestival.nl/the-mall,,"Mark Plant, better known under the moniker The Mall, is a St. Louis–based musician whose blistering brand of synth-punk has been carving out a unique space between punk energy and electronic intensity.",,No
Arabian Panther,,,,,,,France,"[using festival bio due to a lack of publicly available data] Arabian Panther is a French-Lebanese producer and DJ whose veiled presence and powerful sonic identity have made him a standout figure in the global electronic underground. Performing behind a black keffiyeh, he shifts the focus from the individual to the mythic alter ego of “the Panther”—a lone warrior devoted to justice, resistance, and unity. His music blends Middle Eastern scales, Arabic percussion, warrior-march atmospheres, and club-ready beats into an unmistakable signature inspired by hafla culture.",,,,,,,1,he,Yes,,https://www.grauzonefestival.nl/arabian-panther,,"Arabian Panther is a French-Lebanese producer and DJ whose veiled presence and powerful sonic identity have made him a standout figure in the global electronic underground. Performing behind a black keffiyeh, he shifts the focus from the individual to the mythic alter ego of “the Panther”—a lone warrior devoted to justice, resistance, and unity. His music blends Middle Eastern scales, Arabic percussion, warrior-march atmospheres, and club-ready beats into an unmistakable signature inspired by hafla culture.",,No
Desinteresse,,,,,,coldwave,Netherlands,"[using festival bio due to a lack of publicly available data] Desinteresse is a Dutch coldwave act formed in late 2022 by Bart Vranken (bass) and Sem van den Munckhof (vocals/synth/guitar). In 2024, Joppe de Swart (drums) joined to complete the current trio. That same year, Desinteresse made their mark with a performance at Grauzone Festival, bringing their stark and uncompromising sound to an international audience.",,,,,,,3,,,,https://www.grauzonefestival.nl/desinteresse,,"Desinteresse is a Dutch coldwave act formed in late 2022 by Bart Vranken (bass) and Sem van den Munckhof (vocals/synth/guitar). In 2024, Joppe de Swart (drums) joined to complete the current trio. That same year, Desinteresse made their mark with a performance at Grauzone Festival, bringing their stark and uncompromising sound to an international audience.",,No
DJ Sharlese,,,,,,Electronic/Techno,USA,"DJ Sharlese is a Seattle-based DJ and radio host known for her eclectic mix of techno, house, and experimental electronic music. She is a prominent figure in the Pacific Northwest music scene and a champion of underground and independent artists.",,,,,"DJ Sharlese's ability to blend techno, house, and experimental sounds has made her a key figure in Seattle's electronic music scene. Her sets are celebrated for their depth and creativity, often showcasing lesser-known artists alongside established names.",8,,Female,No,,https://www.grauzonefestival.nl/sharlese,,"Seattle-based DJ and radio hostSharlesethrives on the unexpected, weaving dark and diverse sounds into hypnotic sets that move between electro, EBM, Italo and techno. Her performances have lit up dance floors worldwide—from IFM in the Netherlands, Tresor West in Dortmund and Panorama Bar in Berlin, to Merge in New York. Her acclaimed mixes for podcasts such as BITE, Feinstoff and KIHDI further reveal her gift for creating intimate, emotional spaces—whether for dancing, reflection, or catharsis.",,No
Nuxx,,,,,,electro,United States,"[using festival bio due to a lack of publicly available data] Nuxx is the electro project of New York musician and visual artist Madeline Seely, whose gritty, high-energy sound blends elements of EBM, 90's techno, drum and bass, and digital hardcore. Known for her electrifying live performances, Seely has taken Nuxx on tours across North America, Europe, and Mexico. Her high-energy sets provide the audience with a raw, immersive experience. From the festival stage to the floor of a basement, Nuxx never fucks around.",,,,,,,1,female,,,https://www.grauzonefestival.nl/nuxx,,"Nuxx is the electro project of New York musician and visual artist Madeline Seely, whose gritty, high-energy sound blends elements of EBM, 90's techno, drum and bass, and digital hardcore. Known for her electrifying live performances, Seely has taken Nuxx on tours across North America, Europe, and Mexico. Her high-energy sets provide the audience with a raw, immersive experience. From the festival stage to the floor of a basement, Nuxx never fucks around.",,No
DJ Helena Hauff,,,,,,Techno/Electro,Germany,"Helena Hauff is a German DJ and producer known for her raw, uncompromising approach to techno and electro. She has gained international acclaim for her analog-heavy productions and dynamic, high-energy DJ sets.",,,,,"Helena Hauff's music is characterized by its gritty, analog-driven sound, blending elements of acid, industrial, and electro. Her ability to craft intense, immersive sets has made her a standout figure in the global electronic music scene.",8,,Female,No,,https://www.grauzonefestival.nl/helena-hauff,,"A true powerhouse in electronic music,Helena Hauffhas evolved over the past decade into one of the world’s most celebrated DJs and producers. Known for her uncompromising sets—often weaving together raw acid, industrial electro, EBM, and techno—Hauff commands the dancefloor with a ferocity and precision that few can match.",,No
Kontravoid,,,,,,Darkwave/Industrial/Electronic,Canada,"Kontravoid is the solo project of Canadian artist Cameron Findlay, blending darkwave, industrial, and electronic music with haunting vocals and pulsating beats. Known for his masked stage persona, Kontravoid has gained recognition in the underground electronic scene for his atmospheric and danceable sound.",,https://open.spotify.com/artist/1cZNxWhPe9pKXdVZZdA9Bz,,,"Kontravoid's music combines the brooding intensity of industrial and darkwave with hypnotic electronic rhythms, creating a soundscape that is both haunting and immersive. His masked performances add an enigmatic and theatrical element to his live shows, further enhancing his unique artistic identity.",8,,Male,No,,https://www.grauzonefestival.nl/kontravoid,,"Kontravoidhas proven to be nothing short of a crowd favourite at Grauzone. His last performance left an unforgettable impression, so much so that we knew we had to bring him back. Returning to Grauzone once more, Kontravoid, the moniker of Canadian producer and performer Cameron Findlay delivers a dark, high-energy fusion of EBM, synthpunk, industrial, darkwave, and gothic techno.",,No
