Artist,Tagline,Date,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify,YouTube,Instagram,Photo URL,AI Summary,AI Rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Volbeat,"Metal meets melody, ignites rebellion.",,,,,Heavy Metal/Hard Rock,Denmark,"Volbeat is a Danish rock band formed in 2001, known for their unique blend of heavy metal, rockabilly, and punk rock influences. They have achieved international success with albums like 'Outlaw Gentlemen & Shady Ladies' and 'Seal the Deal & Let's Boogie,' earning multiple awards and Grammy nominations.",,,,,,"Volbeat's distinctive sound combines the aggression of heavy metal with the melodic sensibilities of rockabilly and punk, creating a genre-defying style. Their energetic live performances and chart-topping albums have solidified their reputation as one of the most innovative and successful modern rock bands.",9,4,Male,No,,https://bospopfestival.nl/artiest/volbeat/,"YEAAAHHHH: Volbeat komt naar Bospop! De Deense rockband, opgericht in 2001, speelt een mix van heavy metal, rockabilly en hardrock. Met acht studioalbums (and still counting!) speelt Volbeat al jaren een dominante rol in de Rock- en Heavymetal scene. Catchy melodieën ondersteund door overdonderende metalriffs geven deze band zijn unieke en vernieuwende sound. Of je het nu ‘Elvis-metal’ noemt of ‘Johnny Cash on steroids’, één ding is zeker: een Volbeat show moet je gewoon een keer meegemaakt hebben. Het is dan ook geen wonder dat de band erg geliefd is in Nederland: de afgelopen jaren speelden ze de Ziggo Dome, Rotterdam Ahoy en GelreDome al plat. Hoog tijd voor een snoeihard debuut in Weert.","YEAAAHHHH: Volbeat is coming to Bospop! The Danish rock band, founded in 2001, plays a mix of heavy metal, rockabilly, and hard rock. With eight studio albums (and still counting!), Volbeat has been a dominant force in the Rock and Heavy Metal scene for years. Catchy melodies supported by thunderous metal riffs give this band its unique and innovative sound. Whether you call it 'Elvis metal' or 'Johnny Cash on steroids,' one thing is certain: you simply have to experience a Volbeat show at least once. It's no wonder the band is hugely popular in the Netherlands: in recent years, they've rocked the Ziggo Dome, Rotterdam Ahoy, and GelreDome to the ground. High time for a hard-hitting debut in Weert.",,Yes
Within Temptation,"Epic symphonies, unleashed in metal.",,,,,Symphonic Metal/Gothic Metal,Netherlands,"Within Temptation is a Dutch symphonic metal band formed in 1996, known for their fusion of heavy guitar riffs, orchestral arrangements, and the powerful vocals of lead singer Sharon den Adel. They have achieved international success with albums like 'Mother Earth' and 'The Unforgiving,' and are recognized as one of the leading bands in the symphonic metal genre.",,,,,,"Within Temptation combines symphonic and gothic metal with cinematic orchestration and Sharon den Adel's soaring, emotive vocals, creating a dramatic and atmospheric sound. Their ability to blend heavy metal with classical influences has earned them critical acclaim and a dedicated global fanbase.",9,6,Female,No,,https://bospopfestival.nl/artiest/within-temptation/,"Within Temptation behoort tot de absolute top van de Europese festivals. Met hun overweldigende symfonische rock, ijzersterke hooks en de iconische stem van Sharon den Adel levert de band steevast shows die voelen als een film in volle versnelling. Hun nieuwste album ‘Bleed Out’(2023) luidde een gedurfd nieuw tijdperk in, met krachtige songs over verzet, vrijheid en menselijkheid. In 2025 stal de band opnieuw de spotlight met explosieve optredens op o.a. Download, Wacken en Hellfest, én met een indrukwekkende samenwerking met de Oekraïense zangeres Jerry Heil. Met miljoenen verkochte albums, meerdere awards en arenatours op hun naam blijft Within Temptation een van de meest gewaardeerde rockbands van de afgelopen 25 jaar – niet alleen binnen Nederland, maar wereldwijd.","Within Temptation ranks among the absolute top of European festivals. With their overwhelming symphonic rock, powerful hooks, and the iconic voice of Sharon den Adel, the band consistently delivers performances that feel like a movie in overdrive. Their latest album, ‘Bleed Out’ (2023), marked a bold new era, featuring powerful songs about resistance, freedom, and humanity. In 2025, the band once again stole the spotlight with explosive performances at festivals such as Download, Wacken, and Hellfest, as well as an impressive collaboration with Ukrainian singer Jerry Heil. With millions of albums sold, multiple awards, and arena tours to their name, Within Temptation remains one of the most celebrated rock bands of the past 25 years—not just in the Netherlands, but worldwide.",,Yes
Airbourne,"High-voltage anthems, born to rock.",,,,,Hard Rock,Australia,"Airbourne is an Australian hard rock band known for their high-energy performances and classic rock-inspired sound, drawing comparisons to bands like AC/DC. Since their formation in 2003, they have released several successful albums, including 'Runnin' Wild' and 'No Guts. No Glory.', and have built a reputation as a powerful live act.",,,,,,"Airbourne delivers a raw, electrifying hard rock sound heavily influenced by AC/DC, with driving riffs, anthemic choruses, and a relentless energy that has earned them a dedicated global fanbase and acclaim for their live performances.",8,4,Male,No,,https://bospopfestival.nl/artiest/airbourne/,"Airbourne maakt rock zoals alleen Australiërs dat kunnen: hard, honkvast en zonder omwegen. Sinds de broers Joel en Ryan O’Keeffe de band in 2003 begonnen, is Airbourne uitgegroeid tot een wereldwijde live-sensatie, goed voor meer dan 1100 shows en passages op festivals als Wacken, Download, Hellfest en Rock am Ring. Met albums als ‘Runnin’ Wild‘, ‘No Guts. No Glory.‘ en ‘Breakin’ Outta Hell‘ knalden ze wereldwijd de hitlijsten in en wonnen ze de Classic Rock Award voor Best Live Band. Hun sound ademt de geest van AC/DC en Motörhead, maar altijd met hun eigen onverzettelijke drive. Verwacht vuur, volume en pure hardrock-euforie: Airbourne komt niet om te fluisteren, maar om te vlammen.","Airbourne makes rock like only Australians can: hard, steadfast, and straight to the point. Since brothers Joel and Ryan O’Keeffe started the band in 2003, Airbourne has grown into a global live sensation, racking up more than 1,100 shows and appearances at festivals like Wacken, Download, Hellfest, and Rock am Ring. With albums like ‘Runnin’ Wild,’ ‘No Guts. No Glory.,’ and ‘Breakin’ Outta Hell,’ they’ve stormed charts worldwide and won the Classic Rock Award for Best Live Band. Their sound channels the spirit of AC/DC and Motörhead, but always with their own relentless drive. Expect fire, volume, and pure hard rock euphoria: Airbourne isn’t here to whisper, they’re here to ignite.",,Yes
Floor Jansen,Symphonic Metal’s Soaring Valkyrie Voice,,,,,Symphonic Metal/Progressive Metal,Netherlands,"Floor Jansen is a Dutch singer and songwriter best known as the lead vocalist of the symphonic metal band Nightwish. Renowned for her powerful and versatile voice, she has also fronted the bands After Forever and ReVamp, earning critical acclaim for her dynamic performances and contributions to the metal genre.",,,,,,Floor Jansen's commanding vocal range and ability to seamlessly blend operatic and rock styles have made her a standout figure in symphonic and progressive metal. Her work with Nightwish and other projects has solidified her reputation as one of the genre's most influential and talented vocalists.,9,,Female,No,,https://bospopfestival.nl/artiest/floor-jansen/,"Van haar pionierswerk met ‘After Forever’tot de wereldwijde hoogtepunten met Nightwish: Floor Jansen’s grootse stem en emotionele diepgang trekken miljoenen fans. In 2019 brak ze solo door dankzij haar deelname aan De Beste Zangers, gevolgd door de Popprijs en een razendsnel uitverkochte eerste solotour. In 2023 bracht ze haar eerste soloalbum PARAGON uit en tourde ze door Europa. Floor brengt moeiteloos de meest uiteenlopende genres samen. In 2025 stond ze zowel op grote metalfestivals, waaronder Wacken, als in een volledig uitverkochte Nederlandse theatertour, waarmee ze haar veelzijdigheid onderstreept.","From her pioneering work with ‘After Forever’ to the worldwide highlights with Nightwish: Floor Jansen’s powerful voice and emotional depth captivate millions of fans. In 2019, she broke through as a solo artist thanks to her participation in The Best Singers, followed by the Pop Award and a lightning-fast sold-out first solo tour. In 2023, she released her first solo album, PARAGON, and toured across Europe. Floor effortlessly blends the most diverse genres. In 2025, she performed at major metal festivals, including Wacken, as well as in a completely sold-out Dutch theater tour, showcasing her versatility.",,Yes
Steel Panther,"1980s glam metal, cranked to 11.",,,,,Glam Metal/Comedy Rock,USA,"Steel Panther is a satirical glam metal band from Los Angeles, known for their humorous lyrics, over-the-top stage presence, and nostalgic homage to 1980s hair metal. They have released multiple albums, including 'Feel the Steel' and 'Balls Out,' and are celebrated for their comedic take on rock and roll excess.",,,,,,"Steel Panther combines the flamboyant style of 1980s glam metal with comedic and often explicit lyrics, creating a unique niche that both parodies and celebrates the genre. Their energetic live shows and tongue-in-cheek approach have earned them a dedicated fanbase and critical recognition for their musicianship and humor.",8,4,Male,No,,https://bospopfestival.nl/artiest/steel-panther/,"Steel Panther ontstond in 2000 op de Sunset Strip en groeide uit tot hét ultieme heavy-metalfenomeen van deze eeuw. Met hun over-the-top humor, virtuoze spel en schaamteloze glam-metalattitude bliezen ze het genre nieuw leven in. Hun doorbraakalbum ‘Feel The Steel’(2009) zette de toon, met gastbijdragen van o.a. Corey Taylor (Slipknot, Stone Sour), M. Shadows (Avenged Sevenfold) en Scott Ian (Anthrax).Daarna volgden hits en cultfavorieten als ‘Balls Out’, ‘All You Can Eat’, ‘Lower The Bar’en ‘Heavy Metal Rules’.De band tourde met Aerosmith en Stone Sour en speelde op de grootste festivals plat. Met hun zesde album ‘On The Prowl’bewijzen Michael Starr, Satchel, Spyder en Stix Zadinia opnieuw dat echte glam-metal nooit sterft.","Steel Panther emerged in 2000 on the Sunset Strip and grew into the ultimate heavy metal phenomenon of this century. With their over-the-top humor, virtuosic playing, and shameless glam-metal attitude, they breathed new life into the genre. Their breakthrough album ‘Feel The Steel’ (2009) set the tone, featuring guest contributions from the likes of Corey Taylor (Slipknot, Stone Sour), M. Shadows (Avenged Sevenfold), and Scott Ian (Anthrax). This was followed by hits and cult favorites such as ‘Balls Out,’ ‘All You Can Eat,’ ‘Lower The Bar,’ and ‘Heavy Metal Rules.’ The band toured with Aerosmith and Stone Sour and rocked the biggest festivals. With their sixth album ‘On The Prowl,’ Michael Starr, Satchel, Spyder, and Stix Zadinia once again prove that true glam metal never dies.",,Yes
Biohazard,"Hardcore fusion, Brooklyn-born rebellion.",,,,,Hardcore punk/Metal,USA,"Biohazard is a Brooklyn-based band formed in 1987, known for pioneering the fusion of hardcore punk and heavy metal with elements of hip-hop. They gained recognition for their aggressive sound, socially conscious lyrics, and high-energy live performances, becoming influential in the crossover genre.",,,,,,"Biohazard's innovative blend of hardcore punk, heavy metal, and hip-hop set them apart as trailblazers in the crossover genre. Their raw energy, politically charged lyrics, and intense live shows have cemented their status as a seminal act in alternative heavy music.",8,4,Male,No,,https://bospopfestival.nl/artiest/biohazard/,"Biohazard is een pionier in het kruisen van hardcore, metal en hiphop – een explosieve mix die hen wereldwijd een cultstatus opleverde. De uit Brooklyn afkomstige band serveert een rauwe, straatgerichte energie die ongeëvenaard is. Hun teksten zijn sociaal geladen, hun riffs intens en hun liveshows pure chaos in de best mogelijke zin. Met klassiekers als ‘UrbanDiscipline‘ en ‘State of the World Address‘ zette Biohazard een nieuwe standaard neer voor crossover-metal. Een liveoptreden van Biohazard staat voor eerlijkheid, agressie en catharsis. Wie erbij is, vergeet het niet snel.","Biohazard is a pioneer in blending hardcore, metal, and hip-hop – an explosive mix that earned them a cult status worldwide. The Brooklyn-based band delivers a raw, street-driven energy that is unmatched. Their lyrics are socially charged, their riffs intense, and their live shows pure chaos in the best possible sense. With classics like ‘Urban Discipline’ and ‘State of the World Address,’ Biohazard set a new standard for crossover metal. A live performance by Biohazard stands for honesty, aggression, and catharsis. Those who witness it won’t forget it anytime soon.",,Yes
Parris,"Bass, texture, and boundless innovation.",,,,,Electronic/Experimental,UK,"Parris is a London-based electronic music producer known for blending elements of dubstep, techno, and experimental soundscapes. His work often explores minimalism and texture, earning critical acclaim for its innovative approach to genre boundaries.",,,,,,"Parris creates a distinctive sound by merging dubstep's bass-heavy roots with experimental and minimalist electronic textures, resulting in a forward-thinking and atmospheric style that has garnered praise for its originality.",8,,Male,Yes,,https://bospopfestival.nl/artiest/parris/,"Parris is de Nederlandse Thin Lizzy tribute die deze muzikale spirit levend wil houden. Ze onderscheiden zich door een grote hoeveelheid enthousiasme, energie en liefde voor deze muziek. De combinatie van muzikaal vakmanschap en een zanger die boven aan de lijst staat van verboden wapens is inmiddels zeer vruchtbaar gebleken. Parris heeft al meerdere malen ten tonele mogen verschijnen op The Vibe for Philo, hét Thin Lizzy event wereldwijd waar jaarlijks frontman Phil Lynott wordt herdacht. Daarnaast zijn ze te horen op het in 2001 uitgekomen dubbelalbum Tribute To The Black Rose, dat ook bijdragen bevat van leden van Uriah Heep en Nachman Turner Overdrive. Dichterbij Thin Lizzy kun je momenteel niet komen!","Parris is the Dutch Thin Lizzy tribute band dedicated to keeping this musical spirit alive. They stand out with their immense enthusiasm, energy, and love for this music. The combination of musical craftsmanship and a singer who ranks high on the list of forbidden weapons has proven to be highly fruitful. Parris has had the honor of performing multiple times at The Vibe for Philo, the ultimate Thin Lizzy event worldwide, held annually in memory of frontman Phil Lynott. Additionally, they can be heard on the 2001 double album Tribute To The Black Rose, which also features contributions from members of Uriah Heep and Bachman-Turner Overdrive. You can't get closer to Thin Lizzy than this!",,Yes
Bizkit Park,"Nu-metal chaos, nostalgia unleashed.",,,,,nu-metal,,"[using festival bio due to a lack of publicly available data] L-I-M-P Bizkit Park is right here! Bizkit Park delivers the ultimate tribute to nu-metal: energetic, absurd, extremely danceable, and fully dedicated to the glory days of one of the most illustrious subgenres in alternative music. Because let's be honest: what millennial isn't familiar with Fred Durst's middle finger, Chester Bennington's voice, or Corey Taylor's mask, with relentless riffs and pounding drums on the radio and TV every day? All the classics from this unparalleled era are featured in a whirlwind and seamless set. Limp Bizkit, Korn, System of a Down, Linkin Park, Slipknot, Papa Roach, Deftones, and many others... they all get their turn.",,,,,,,,,,,,https://bospopfestival.nl/artiest/bizkit-park/,"L-I-M-P Bizkit Park is right here!Bizkit Park brengt dé ultieme tribute aan nu-metal: energiek, absurd, extreem dansbaar en volledig toegewijd aan de gloriedagen van één van de meest illustere sub genres uit de alternatieve muziek. Want laten we eerlijk zijn: welke millennial is nu niet vertrouwd met de middelvinger van Fred Durst, de stem van Chester Bennington of het masker van Corey Taylor, en elke dag snoeiharde riffs en beukende drums op radio en tv? Alle classics uit dit weergaloze tijdperk passeren de revue in een wervelende en naadloze set. Limp Bizkit, Korn, System of a Down, Linkin Park, Slipknot, Papa Roach, Deftones, en vele anderen… ze moeten er allemaal aan geloven.","L-I-M-P Bizkit Park is right here! Bizkit Park delivers the ultimate tribute to nu-metal: energetic, absurd, extremely danceable, and fully dedicated to the glory days of one of the most illustrious subgenres in alternative music. Because let's be honest: what millennial isn't familiar with Fred Durst's middle finger, Chester Bennington's voice, or Corey Taylor's mask, accompanied by daily doses of crushing riffs and pounding drums on radio and TV? All the classics from this unparalleled era take the stage in a whirlwind and seamless set. Limp Bizkit, Korn, System of a Down, Linkin Park, Slipknot, Papa Roach, Deftones, and many others... they all get their turn.",,Yes
The Damn Truth,"Raw soul, roaring rock revival.",,,,,Rock/Blues Rock,Canada,"The Damn Truth is a Canadian rock band known for their powerful blend of classic rock and blues influences, combined with modern energy. They have gained recognition for their electrifying live performances and critically acclaimed albums like 'Devilish Folk' and 'Now or Nowhere.'",,,,,,"The Damn Truth delivers a raw and soulful rock sound, drawing from 70s classic rock and blues traditions while injecting a contemporary edge. Their high-energy performances and gritty, emotive vocals have earned them a reputation as a standout act in the modern rock scene.",8,4,Female,No,,https://bospopfestival.nl/artiest/the-damn-truth/,"The Damn Truth is dé Canadese rockband die momenteel het hardst door de UK en Europa raast. Met hun gewaagde, moderne heruitvinding van classic rock bouwde het viertal uit Montreal een reputatie op als een niet te stoppen live-machine. Hun nieuwe, titelloze vierde album markeert een volgende stap na jaren intensief touren. Met twee Top 40-rockhits (‘Love Outta Luck’en ‘I Just Gotta Let You Know’) klinkt de band gedurfder dan ooit: van de mystieke Zeppelin-vibe van ‘The Willow’tot de krachtige emotie van ‘Better This Way’en het vuist-in-de-lucht gehalte van ‘All Night Long’. Op het podium komt The Damn Truth volledig tot leven: luid, organisch, bezield en gemaakt voor zweterige festivalweides.","The Damn Truth is the Canadian rock band currently taking the UK and Europe by storm. With their bold, modern reinvention of classic rock, the Montreal quartet has built a reputation as an unstoppable live machine. Their new self-titled fourth album marks the next step after years of intense touring. With two Top 40 rock hits (""Love Outta Luck"" and ""I Just Gotta Let You Know""), the band sounds bolder than ever: from the mystical Zeppelin vibe of ""The Willow"" to the raw emotion of ""Better This Way"" and the fist-pumping energy of ""All Night Long."" On stage, The Damn Truth comes fully alive: loud, organic, soulful, and made for sweaty festival fields.",,Yes
Regressive Hypnosis,"Progressive dreams reimagined, octave by octave.",,,,,,,"[using festival bio due to a lack of publicly available data] Regressive Hypnosis has become one of Europe’s most active and precise Dream Theater tribute bands. Since their stage debut in 2023, the quintet has impressed audiences with stunning Images & Words shows, and now they present something unique: The Octavarium Concept. Not just an ordinary tribute, but a creative reinterpretation of Dream Theater’s 2005 masterpiece. Instead of playing the album in its entirety, the band constructs a set that follows the famous ascending key progression — from F to F — with carefully selected tracks that bring the circular musical journey to life once more. Expect breathtaking solos, technical perfection, and immersive visuals. For prog fans and newcomers alike, this is not just a concert but a complete musical experience that will resonate long after.",,,,,,,,5,,,,https://bospopfestival.nl/artiest/regressive-hypnosis/,"Regressive Hypnosis is uitgegroeid tot een van Europa’s meest actieve en nauwkeurige Dream Theater-tributebands. Sinds hun podiumdebuut in 2023 verraste het vijftal met indrukwekkende Images & Words-shows, en nu presenteren ze iets unieks: The Octavarium Concept. Geen gewone tribute, maar een creatieve herinterpretatie van Dream Theater’s meesterwerk uit 2005. In plaats van het album integraal te spelen, bouwt de band een set die de beroemde stijgende toonsoorten volgt — van F naar F — met zorgvuldig gekozen tracks die de cirkelvormige muzikale reis opnieuw tot leven brengen. Verwacht adembenemende solo’s, technische perfectie en meeslepende visuals. Voor progfans én nieuwkomers is dit geen concert, maar een volledige muzikale ervaring die lang blijft nazinderen.","Regressive Hypnosis has grown into one of Europe’s most active and precise Dream Theater tribute bands. Since their stage debut in 2023, the quintet has impressed audiences with stunning Images & Words shows, and now they present something unique: The Octavarium Concept. Not just an ordinary tribute, but a creative reinterpretation of Dream Theater’s 2005 masterpiece. Instead of playing the album in its entirety, the band constructs a set that follows the famous ascending key changes — from F to F — with carefully selected tracks that bring the circular musical journey to life once more. Expect breathtaking solos, technical perfection, and immersive visuals. For prog fans and newcomers alike, this is not just a concert but a complete musical experience that will resonate long after.",,Yes
